股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,413000,0.43,413000,0,持平
1477,聚陽實業,152000,0.65,152000,0,持平
1519,華城電機,64000,0.65,64000,0,持平
1605,華新麗華,6744000,3.59,6744000,0,持平
2059,川湖科技,24000,1.05,31000,-7000,減碼
2308,台達電子工業,153000,2.15,177000,-24000,減碼
2313,華通電腦,1094000,1.6,1222000,-128000,減碼
2317,鴻海精密工業,735000,2.34,823000,-88000,減碼
2327,國巨,449000,1.48,513000,-64000,減碼
2330,台灣積體電路製造,937000,21.95,937000,0,持平
2344,華邦電子,1347000,2.03,2667000,-1320000,減碼
2345,智邦科技,162000,2.85,189000,-27000,減碼
2357,華碩電腦,133000,0.98,133000,0,持平
2360,致茂電子,99000,1.27,109000,-10000,減碼
2368,金像電子（股）公司,135000,1.19,135000,0,持平
2379,瑞昱半導體,17000,0.13,17000,0,持平
2382,廣達電腦,325000,1.23,346000,-21000,減碼
2383,台光電子材料,71000,1.52,71000,0,持平
2408,南亞科技,445000,1.49,641000,-196000,減碼
2412,中華電信,1600000,2.97,1600000,0,持平
2449,京元電子,283000,1.03,297000,-14000,減碼
2454,聯發科技,193000,3.88,193000,0,持平
2881,富邦金融控股,2276100,3.07,2276100,0,持平
2884,玉山金融控股,2046000,0.93,2046000,0,持平
2891,中國信託金融控股,2590000,1.78,2590000,0,持平
3017,奇鋐科技,80000,1.51,80000,0,持平
3036,文曄科技,933000,1.89,933000,0,持平
3037,欣興電子,312000,0.99,312000,0,持平
3231,緯創資通,291000,0.61,291000,0,持平
3293,鈊象電子,230000,2.33,230000,0,持平
3533,嘉澤端子工業,5000,0.1,5000,0,持平
3653,健策精密工業,37000,1.26,37000,0,持平
3661,世芯電子,27000,1.35,28000,-1000,減碼
3665,貿聯控股（BizLink Holding In,61148,1.2,61148,0,持平
3706,神達控股,273000,0.35,273000,0,持平
3711,日月光投資控股,498000,1.89,529000,-31000,減碼
4749,新應材,108000,1.37,120000,-12000,減碼
4904,遠傳電信,1362000,1.69,1362000,0,持平
5274,信驊科技,9000,0.96,10000,-1000,減碼
6223,旺矽科技,42000,1.24,42000,0,持平
6274,台燿科技,158000,1.03,169000,-11000,減碼
6409,旭隼科技,65000,0.9,65000,0,持平
6442,光紅建聖,47000,0.87,47000,0,持平
6488,環球晶圓,222000,1.39,229000,-7000,減碼
6515,穎崴科技,56000,2.47,63000,-7000,減碼
6669,緯穎科技服務,16000,1.03,16000,0,持平
6781,AES Holding Co Ltd,9000,0.16,9000,0,持平
6805,富世達,46000,0.87,46000,0,持平
8046,南亞電路板,23000,0.08,23000,0,持平
8210,勤誠興業,27000,0.35,27000,0,持平
