股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,4026000.0,3.51,3644000.0,382000.0,加碼
1477,聚陽實業,433000.0,1.21,433000.0,0.0,持平
1519,華城電機,68000.0,0.66,68000.0,0.0,持平
1605,華新麗華,2118000.0,0.78,2118000.0,0.0,持平
2059,川湖科技,19000.0,0.74,19000.0,0.0,持平
2308,台達電子工業,160000.0,2.71,160000.0,0.0,持平
2313,已清倉,0.0,,0.0,0.0,持平
2317,鴻海精密工業,561000.0,1.29,561000.0,0.0,持平
2327,國巨,33000.0,0.1,33000.0,0.0,持平
2330,台灣積體電路製造,1122000.0,24.27,1122000.0,0.0,持平
2344,華邦電子,639000.0,0.71,639000.0,0.0,持平
2345,智邦科技,79000.0,1.47,79000.0,0.0,持平
2357,已清倉,0.0,,0.0,0.0,持平
2360,致茂電子,100000.0,1.8,100000.0,0.0,持平
2368,金像電子（股）公司,90000.0,0.95,90000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,299000.0,1.02,299000.0,0.0,持平
2383,台光電子材料,37000.0,1.18,37000.0,0.0,持平
2395,研華,1428000.0,5.59,900000.0,528000.0,加碼
2408,南亞科技,38000.0,0.09,38000.0,0.0,持平
2412,中華電信,2709000.0,4.43,2535000.0,174000.0,加碼
2449,京元電子,27000.0,0.09,27000.0,0.0,持平
2454,聯發科技,78000.0,1.43,78000.0,0.0,持平
2881,富邦金融控股,2051100.0,2.17,2051100.0,0.0,持平
2884,已清倉,0.0,,0.0,0.0,持平
2891,中國信託金融控股,1631000.0,1.03,1631000.0,0.0,持平
3017,奇鋐科技,43000.0,1.05,43000.0,0.0,持平
3036,文曄科技,35000.0,0.09,35000.0,0.0,持平
3037,欣興電子,53000.0,0.29,205000.0,-152000.0,減碼
3105,穩懋半導體,103000.0,0.45,103000.0,0.0,持平
3231,已清倉,0.0,,0.0,0.0,持平
3264,欣銓科技,609000.0,1.16,609000.0,0.0,持平
3293,鈊象電子,378000.0,3.5,339000.0,39000.0,加碼
3529,力旺電子,13000.0,0.42,13000.0,0.0,持平
3533,嘉澤端子工業,66000.0,1.66,85000.0,-19000.0,減碼
3653,健策精密工業,21000.0,0.98,21000.0,0.0,持平
3661,世芯電子,33000.0,1.01,33000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,51000.0,1.09,51000.0,0.0,持平
3706,已清倉,0.0,,0.0,0.0,持平
3711,日月光投資控股,248000.0,1.0,248000.0,0.0,持平
4749,新應材,198000.0,1.94,302000.0,-104000.0,減碼
4904,遠傳電信,2443000.0,2.76,1813000.0,630000.0,加碼
5274,信驊科技,1000.0,0.13,3000.0,-2000.0,減碼
6223,旺矽科技,32000.0,1.41,32000.0,0.0,持平
6239,力成科技,468000.0,1.08,468000.0,0.0,持平
6274,台燿科技,13000.0,0.09,46000.0,-33000.0,減碼
6409,已清倉,0.0,,0.0,0.0,持平
6415,矽力杰,241000.0,0.83,241000.0,0.0,持平
6442,光紅建聖,57000.0,1.33,57000.0,0.0,持平
6488,環球晶圓,267000.0,1.38,313000.0,-46000.0,減碼
6515,穎崴科技,1000.0,0.09,11000.0,-10000.0,減碼
6669,緯穎科技服務,24000.0,0.97,24000.0,0.0,持平
6781,AES Holding Co Ltd,101000.0,1.22,101000.0,0.0,持平
6789,采鈺科技,422000.0,1.58,490000.0,-68000.0,減碼
6805,富世達,13000.0,0.28,51000.0,-38000.0,減碼
7769,鴻勁精密,2000.0,0.09,20000.0,-18000.0,減碼
8046,已清倉,0.0,,0.0,0.0,持平
8210,勤誠興業,92000.0,0.98,92000.0,0.0,持平
