股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,413000.0,0.38,413000.0,0.0,持平
1477,聚陽實業,346000.0,1.38,346000.0,0.0,持平
1519,華城電機,64000.0,0.82,64000.0,0.0,持平
1605,華新麗華,7381000.0,4.12,7381000.0,0.0,持平
2059,川湖科技,17000.0,0.69,17000.0,0.0,持平
2308,台達電子工業,139000.0,2.21,142000.0,-3000.0,減碼
2313,華通電腦,1576000.0,3.56,1576000.0,0.0,持平
2317,鴻海精密工業,630000.0,1.79,649000.0,-19000.0,減碼
2327,國巨,335000.0,1.18,335000.0,0.0,持平
2330,台灣積體電路製造,887000.0,20.33,875000.0,12000.0,加碼
2344,華邦電子,661000.0,1.09,708000.0,-47000.0,減碼
2345,智邦科技,131000.0,1.95,137000.0,-6000.0,減碼
2357,已清倉,0.0,,133000.0,-133000.0,全部賣出
2360,致茂電子,94000.0,1.21,94000.0,0.0,持平
2368,金像電子（股）公司,135000.0,1.19,135000.0,0.0,持平
2379,已清倉,0.0,,17000.0,-17000.0,全部賣出
2382,廣達電腦,325000.0,1.17,325000.0,0.0,持平
2383,台光電子材料,66000.0,1.5,68000.0,-2000.0,減碼
2395,研華,580000.0,2.25,0.0,580000.0,新買入
2408,南亞科技,314000.0,1.18,333000.0,-19000.0,減碼
2412,中華電信,1769000.0,3.0,1769000.0,0.0,持平
2449,京元電子,283000.0,1.1,283000.0,0.0,持平
2454,聯發科技,140000.0,3.16,146000.0,-6000.0,減碼
2881,富邦金融控股,2051100.0,2.4,2051100.0,0.0,持平
2884,已清倉,0.0,,2046000.0,-2046000.0,全部賣出
2891,中國信託金融控股,2590000.0,1.71,2590000.0,0.0,持平
3017,奇鋐科技,80000.0,1.52,80000.0,0.0,持平
3036,文曄科技,1432000.0,2.89,1432000.0,0.0,持平
3037,欣興電子,386000.0,1.69,386000.0,0.0,持平
3105,穩懋半導體,63000.0,0.2,0.0,63000.0,新買入
3231,已清倉,0.0,,291000.0,-291000.0,全部賣出
3264,欣銓科技,74000.0,0.15,0.0,74000.0,新買入
3293,鈊象電子,202000.0,1.87,326000.0,-124000.0,減碼
3529,力旺電子,7000.0,0.17,0.0,7000.0,新買入
3533,嘉澤端子工業,93000.0,1.72,93000.0,0.0,持平
3653,健策精密工業,32000.0,1.18,32000.0,0.0,持平
3661,世芯電子,27000.0,1.12,27000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,61148.0,1.06,61148.0,0.0,持平
3706,神達控股,273000.0,0.28,273000.0,0.0,持平
3711,日月光投資控股,491000.0,1.93,505000.0,-14000.0,減碼
4749,新應材,166000.0,1.78,166000.0,0.0,持平
4904,遠傳電信,2225000.0,2.51,2225000.0,0.0,持平
5274,信驊科技,9000.0,1.06,9000.0,0.0,持平
6223,旺矽科技,35000.0,1.15,35000.0,0.0,持平
6239,力成科技,53000.0,0.17,0.0,53000.0,新買入
6274,台燿科技,105000.0,0.68,105000.0,0.0,持平
6409,已清倉,0.0,,106000.0,-106000.0,全部賣出
6415,矽力杰,73000.0,0.28,0.0,73000.0,新買入
6442,光紅建聖,47000.0,1.03,47000.0,0.0,持平
6488,環球晶圓,207000.0,1.32,207000.0,0.0,持平
6515,穎崴科技,44000.0,2.18,47000.0,-3000.0,減碼
6669,緯穎科技服務,16000.0,0.76,16000.0,0.0,持平
6781,AES Holding Co Ltd,77000.0,1.17,77000.0,0.0,持平
6805,富世達,46000.0,0.87,46000.0,0.0,持平
7769,鴻勁精密,4000.0,0.19,0.0,4000.0,新買入
8046,已清倉,0.0,,23000.0,-23000.0,全部賣出
8210,勤誠興業,27000.0,0.32,27000.0,0.0,持平
