股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,378000.0,0.28,378000.0,0.0,持平
1477,聚陽實業,433000.0,0.96,433000.0,0.0,持平
1519,華城電機,8000.0,0.07,8000.0,0.0,持平
1605,華新麗華,150000.0,0.05,150000.0,0.0,持平
2059,川湖科技,55000.0,2.18,55000.0,0.0,持平
2308,台達電子工業,195000.0,3.96,195000.0,0.0,持平
2313,已清倉,0.0,,0.0,0.0,持平
2317,鴻海精密工業,117000.0,0.26,117000.0,0.0,持平
2327,已清倉,0.0,,0.0,0.0,持平
2330,台灣積體電路製造,1239000.0,25.57,1239000.0,0.0,持平
2344,華邦電子,1336000.0,1.22,1336000.0,0.0,持平
2345,智邦科技,107000.0,2.37,107000.0,0.0,持平
2357,已清倉,0.0,,0.0,0.0,持平
2360,致茂電子,100000.0,2.04,100000.0,0.0,持平
2368,金像電子（股）公司,212000.0,2.67,212000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,14000.0,0.05,14000.0,0.0,持平
2383,台光電子材料,37000.0,1.51,37000.0,0.0,持平
2395,研華,104000.0,0.38,104000.0,0.0,持平
2408,南亞科技,221000.0,0.49,221000.0,0.0,持平
2412,中華電信,561000.0,0.77,561000.0,0.0,持平
2449,已清倉,0.0,,0.0,0.0,持平
2454,聯發科技,118000.0,2.73,118000.0,0.0,持平
2881,富邦金融控股,278000.0,0.25,278000.0,0.0,持平
2884,已清倉,0.0,,0.0,0.0,持平
2891,中國信託金融控股,89000.0,0.05,89000.0,0.0,持平
3017,奇鋐科技,146000.0,3.96,146000.0,0.0,持平
3036,已清倉,0.0,,0.0,0.0,持平
3037,欣興電子,53000.0,0.38,53000.0,0.0,持平
3105,穩懋半導體,324000.0,1.96,475000.0,-151000.0,減碼
3189,景碩科技,297000.0,1.47,414000.0,-117000.0,減碼
3231,已清倉,0.0,,0.0,0.0,持平
3264,欣銓科技,122000.0,0.26,122000.0,0.0,持平
3293,鈊象電子,34000.0,0.27,34000.0,0.0,持平
3529,力旺電子,41000.0,1.67,49000.0,-8000.0,減碼
3533,嘉澤端子工業,35000.0,0.93,35000.0,0.0,持平
3653,健策精密工業,85000.0,4.63,85000.0,0.0,持平
3661,世芯電子,39000.0,1.6,39000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,127000.0,3.27,127000.0,0.0,持平
3706,已清倉,0.0,,0.0,0.0,持平
3711,日月光投資控股,455000.0,2.13,455000.0,0.0,持平
4749,新應材,57000.0,0.59,57000.0,0.0,持平
4904,遠傳電信,186000.0,0.18,186000.0,0.0,持平
4958,臻鼎科技控股,77000.0,0.24,77000.0,0.0,持平
5274,已清倉,0.0,,0.0,0.0,持平
6223,旺矽科技,30000.0,1.46,30000.0,0.0,持平
6239,力成科技,98000.0,0.22,98000.0,0.0,持平
6274,已清倉,0.0,,0.0,0.0,持平
6409,已清倉,0.0,,0.0,0.0,持平
6415,矽力杰,32000.0,0.13,32000.0,0.0,持平
6442,光紅建聖,64000.0,1.44,64000.0,0.0,持平
6488,環球晶圓,294000.0,1.78,294000.0,0.0,持平
6515,穎崴科技,10000.0,1.08,10000.0,0.0,持平
6669,緯穎科技服務,19000.0,0.83,19000.0,0.0,持平
6781,AES Holding Co Ltd,69000.0,0.78,69000.0,0.0,持平
6789,采鈺科技,260000.0,1.28,396000.0,-136000.0,減碼
6805,富世達,100000.0,2.0,137000.0,-37000.0,減碼
7769,鴻勁精密,105000.0,5.02,28000.0,77000.0,加碼
8046,南亞電路板,304000.0,2.46,396000.0,-92000.0,減碼
8210,勤誠興業,32000.0,0.34,32000.0,0.0,持平
8299,群聯電子,92000.0,1.64,92000.0,0.0,持平
8996,高力熱處理工業,96000.0,1.16,96000.0,0.0,持平
