股票代號,股票名稱,股數,權重(%)
2330,台積電,5518000.0,9.28
2383,台光電,2861000.0,7.92
2368,金像電,6607000.0,6.22
2308,台達電,4379000.0,6.2
3653,健策,1595000.0,5.82
3017,奇鋐,3026000.0,5.82
3665,貿聯-KY,3052848.0,5.59
6223,旺矽,1414000.0,5.44
2345,智邦,3646000.0,5.3
3037,欣興,8443000.0,4.54
8046,南電,7557000.0,4.35
5274,信驊,318000.0,3.44
2327,國巨*,11083000.0,2.68
3711,日月光投控,6159000.0,2.08
6515,穎崴,268000.0,1.84
6274,台燿,2670000.0,1.83
6805,富世達,1130000.0,1.79
2449,京元電子,7512000.0,1.78
6510,精測,604000.0,1.77
1303,南亞,19743000.0,1.45
3211,順達,4086000.0,1.29
3189,景碩,2657000.0,0.88
6139,亞翔,1559000.0,0.81
2454,聯發科,508000.0,0.69
5347,世界,5845000.0,0.66
8358,金居,2750000.0,0.64
6147,頎邦,7692000.0,0.64
3443,創意,267000.0,0.61
2404,漢唐,764000.0,0.6
3661,世芯-KY,233000.0,0.58
6488,環球晶,1330000.0,0.51
3264,欣銓,2870000.0,0.45
8996,高力,515000.0,0.45
4979,華星光,1037000.0,0.38
1326,台化,9001000.0,0.35
6187,萬潤,388000.0,0.3
6191,精成科,3402000.0,0.28
3583,辛耘,526000.0,0.28
3376,新日興,1428000.0,0.26
6669,緯穎,76000.0,0.23
3324,雙鴻,160000.0,0.14
2481,強茂,1636000.0,0.14
2002,中鋼,4929000.0,0.09
1319,東陽,982000.0,0.07
3217,優群,477000.0,0.06
8210,勤誠,34000.0,0.03
3008,大立光,10000.0,0.02
2357,華碩,8000.0,0.0
1815,富喬,5000.0,0.0
2439,美律,8000.0,0.0
3045,台灣大,8000.0,0.0
2313,華通,7000.0,0.0
