股票代號,股票名稱,股數,權重(%)
2330,台積電,4873000.0,8.96
2383,台光電,2636000.0,7.75
2308,台達電,4339000.0,6.62
3017,奇鋐,2976000.0,6.6
3653,健策,1378000.0,5.63
2345,智邦,3301000.0,5.52
2368,金像電,5841000.0,5.45
3665,貿聯-KY,2775848.0,5.22
6223,旺矽,1384000.0,5.13
3037,欣興,7410000.0,3.78
8046,南電,5697000.0,3.23
5274,信驊,258000.0,3.01
2327,國巨*,10803000.0,2.84
3711,日月光投控,6039000.0,2.16
6515,穎崴,268000.0,2.14
2449,京元電子,7082000.0,1.99
6510,精測,591000.0,1.94
3211,順達,3969000.0,1.46
8210,勤誠,1459000.0,1.34
6805,富世達,682000.0,1.31
1303,南亞,17098000.0,1.28
3661,世芯-KY,339000.0,1.04
3189,景碩,2657000.0,0.95
6139,亞翔,1525000.0,0.88
2454,聯發科,487000.0,0.78
6488,環球晶,1701000.0,0.77
5347,世界,5719000.0,0.7
3443,創意,265000.0,0.66
6274,台燿,845000.0,0.53
2404,漢唐,574000.0,0.51
8358,金居,1865000.0,0.45
4979,華星光,1037000.0,0.42
1326,台化,8828000.0,0.39
6187,萬潤,388000.0,0.38
6191,精成科,3400000.0,0.33
3376,新日興,1426000.0,0.3
3264,欣銓,1790000.0,0.29
8996,高力,335000.0,0.29
2408,南亞科,1306000.0,0.29
3533,嘉澤,115000.0,0.26
6669,緯穎,74000.0,0.25
3324,雙鴻,159000.0,0.16
1319,東陽,1502000.0,0.13
2002,中鋼,4927000.0,0.1
3217,優群,356000.0,0.06
3008,大立光,8000.0,0.02
2357,華碩,6000.0,0.0
1815,富喬,3000.0,0.0
2439,美律,6000.0,0.0
3045,台灣大,6000.0,0.0
2313,華通,5000.0,0.0
3583,辛耘,6000.0,0.0
