股票代號,股票名稱,股數,權重(%)
2330,台積電,10740000.0,9.71
2383,台光電,4715000.0,8.34
2454,聯發科,5200000.0,6.89
3037,欣興,17833000.0,5.23
2345,智邦,6419000.0,5.09
6669,緯穎,2449000.0,4.92
6223,旺矽,2443000.0,4.81
2327,國巨*,25437000.0,4.76
3017,奇鋐,5496000.0,4.75
2303,聯電,87718000.0,3.95
3665,貿聯-KY,4898848.0,3.83
2308,台達電,5642000.0,3.54
3711,日月光投控,16327000.0,3.38
8046,南電,9519000.0,3.27
3653,健策,2297000.0,2.95
5274,信驊,454900.0,2.46
2368,金像電,7579000.0,2.24
6274,台燿,5229000.0,2.16
6805,富世達,1957000.0,0.99
8210,勤誠,2297000.0,0.9
2449,京元電子,7543450.0,0.63
6187,萬潤,1334000.0,0.46
1590,亞德客-KY,528000.0,0.29
4979,華星光,1874000.0,0.27
6510,精測,289000.0,0.27
4958,臻鼎-KY,1682000.0,0.26
6515,穎崴,93000.0,0.2
6278,台表科,3610000.0,0.19
6271,同欣電,2470000.0,0.15
6147,頎邦,2822000.0,0.14
6191,精成科,3988000.0,0.13
2408,南亞科,940000.0,0.13
3376,新日興,1741000.0,0.11
3264,欣銓,1508000.0,0.1
5439,高技,526000.0,0.04
2002,中鋼,5163000.0,0.04
4966,譜瑞-KY,140000.0,0.03
8996,高力,1000.0,0.0
8358,金居,1000.0,0.0
3661,世芯-KY,1000.0,0.0
3443,創意,1000.0,0.0
2439,美律,1000.0,0.0
3008,大立光,1000.0,0.0
2382,廣達,1000.0,0.0
3533,嘉澤,1000.0,0.0
6488,環球晶,1000.0,0.0
2313,華通,1000.0,0.0
8150,南茂,1000.0,0.0
2317,鴻海,1000.0,0.0
5347,世界,1000.0,0.0
2481,強茂,5000.0,0.0
