股票代號,股票名稱,股數,權重(%)
2330,台積電,3146000.0,9.68
2383,台光電,2037000.0,6.81
3017,奇鋐,2136000.0,6.61
2368,金像電,4237000.0,6.02
6669,緯穎,683000.0,5.98
2345,智邦,2357000.0,5.83
6223,旺矽,1077000.0,5.18
2308,台達電,2532000.0,4.93
3665,貿聯-KY,1532848.0,4.83
6274,台燿,4737000.0,4.81
3653,健策,677000.0,3.78
2317,鴻海,7423000.0,3.41
2454,聯發科,1168000.0,3.3
6805,富世達,939000.0,3.07
8210,勤誠,1453000.0,2.88
8299,群聯,965000.0,2.58
3661,世芯-KY,333000.0,2.18
5274,信驊,134000.0,1.89
2449,京元電子,4024000.0,1.83
2059,川湖,232000.0,1.74
2404,漢唐,786000.0,1.51
2313,華通,4685000.0,0.94
8358,金居,1668000.0,0.91
5536,聖暉*,512000.0,0.83
6191,精成科,3088000.0,0.73
3533,嘉澤,252000.0,0.66
3715,定穎投控,2198960.0,0.55
1303,南亞,4519000.0,0.53
4958,臻鼎-KY,1738000.0,0.51
3231,緯創,1550000.0,0.46
3515,華擎,854000.0,0.44
2354,鴻準,3209000.0,0.4
3211,順達,555000.0,0.37
1319,東陽,1574000.0,0.31
6515,穎崴,48000.0,0.28
5347,世界,1368000.0,0.27
3711,日月光投控,318000.0,0.16
3217,優群,306000.0,0.1
3044,健鼎,143000.0,0.09
6510,精測,2000.0,0.01
2357,華碩,1000.0,0.0
8996,高力,1000.0,0.0
2439,美律,1000.0,0.0
3008,大立光,1000.0,0.0
3045,台灣大,1000.0,0.0
6139,亞翔,1000.0,0.0
3081,聯亞,1000.0,0.0
2327,國巨*,1000.0,0.0
2884,玉山金,1010.0,0.0
3583,辛耘,1000.0,0.0
