股票代號,股票名稱,股數,權重(%)
2330,台積電,4271000.0,9.17
2383,台光電,2427000.0,7.38
2308,台達電,4309000.0,7.11
3653,健策,1297000.0,5.82
2368,金像電,5600000.0,5.79
6223,旺矽,1366000.0,5.75
2345,智邦,3034000.0,5.47
3017,奇鋐,2572000.0,5.36
3037,欣興,7410000.0,4.84
3665,貿聯-KY,2243848.0,4.27
5274,信驊,255000.0,3.55
2327,國巨*,10251000.0,3.24
8046,南電,4656000.0,2.97
2449,京元電子,7062000.0,2.57
6510,精測,590000.0,2.48
3661,世芯-KY,589000.0,2.19
6515,穎崴,248000.0,2.02
3711,日月光投控,4258000.0,1.72
8210,勤誠,1621000.0,1.63
1303,南亞,15336000.0,1.49
6805,富世達,682000.0,1.41
6139,亞翔,1704000.0,1.12
2454,聯發科,486000.0,0.95
6488,環球晶,1700000.0,0.92
6274,台燿,1463000.0,0.88
2404,漢唐,573000.0,0.61
8358,金居,1864000.0,0.57
3211,順達,1576000.0,0.54
3189,景碩,1310000.0,0.54
1326,台化,8827000.0,0.46
4979,華星光,1036000.0,0.45
1802,台玻,5996000.0,0.43
2408,南亞科,1305000.0,0.41
6191,精成科,3399000.0,0.38
3376,新日興,1425000.0,0.35
8996,高力,315000.0,0.34
3264,欣銓,1789000.0,0.31
6669,緯穎,73000.0,0.31
5347,世界,2000000.0,0.27
3533,嘉澤,100000.0,0.22
3324,雙鴻,158000.0,0.18
1319,東陽,1501000.0,0.14
2002,中鋼,4926000.0,0.11
3217,優群,355000.0,0.06
3008,大立光,7000.0,0.02
2059,川湖,4000.0,0.02
2357,華碩,5000.0,0.0
1815,富喬,2000.0,0.0
2439,美律,5000.0,0.0
8299,群聯,1000.0,0.0
3045,台灣大,5000.0,0.0
5536,聖暉*,4000.0,0.0
2313,華通,4000.0,0.0
3583,辛耘,5000.0,0.0
