股票代號,股票名稱,股數,權重(%)
2330,台積電,7131000.0,8.55
2383,台光電,3138000.0,7.15
3653,健策,2108000.0,6.27
2308,台達電,5317000.0,5.98
2368,金像電,7389000.0,5.29
3665,貿聯-KY,3612848.0,5.26
2345,智邦,4431000.0,5.26
3017,奇鋐,3547000.0,5.23
6223,旺矽,1648000.0,5.01
8046,南電,8609000.0,4.06
3037,欣興,9287000.0,3.73
5274,信驊,351000.0,3.0
2327,國巨*,14138000.0,2.67
6515,穎崴,344000.0,2.2
2454,聯發科,1948000.0,2.19
3711,日月光投控,7167000.0,1.96
6805,富世達,1536000.0,1.72
6274,台燿,3019000.0,1.7
6510,精測,711000.0,1.6
2449,京元電子,9930000.0,1.59
6669,緯穎,582000.0,1.37
2303,聯電,29205000.0,1.33
8358,金居,5508000.0,1.32
3211,順達,3859000.0,0.84
3661,世芯-KY,350000.0,0.75
3189,景碩,2826000.0,0.72
5439,高技,2656000.0,0.69
2404,漢唐,1056000.0,0.64
8210,勤誠,1005000.0,0.61
6147,頎邦,7884000.0,0.59
3443,創意,271000.0,0.57
3264,欣銓,4715000.0,0.52
4979,華星光,1037000.0,0.43
1303,南亞,8013000.0,0.41
8996,高力,535000.0,0.38
6187,萬潤,436000.0,0.32
6488,環球晶,923000.0,0.3
6191,精成科,3814000.0,0.26
3583,辛耘,527000.0,0.25
7769,鴻勁,94000.0,0.25
2481,強茂,3649000.0,0.24
3376,新日興,1560000.0,0.19
3324,雙鴻,168000.0,0.1
3217,優群,580000.0,0.06
2002,中鋼,5158000.0,0.06
3008,大立光,13000.0,0.02
1319,東陽,506000.0,0.02
2313,華通,114000.0,0.02
1815,富喬,106000.0,0.01
2357,華碩,13000.0,0.0
2439,美律,13000.0,0.0
3045,台灣大,13000.0,0.0
5347,世界,10000.0,0.0
