股票代號,股票名稱,股數,權重(%)
2330,台積電,3975000.0,8.79
2383,台光電,2427000.0,7.52
2308,台達電,4309000.0,7.02
2368,金像電,5600000.0,6.1
6223,旺矽,1366000.0,5.84
3017,奇鋐,2572000.0,5.64
3653,健策,1297000.0,5.27
2345,智邦,2952000.0,4.92
3665,貿聯-KY,2243848.0,4.42
3037,欣興,5952000.0,3.92
8046,南電,4656000.0,3.16
2327,國巨*,8794000.0,2.74
6510,精測,590000.0,2.64
5274,信驊,205000.0,2.53
3661,世芯-KY,589000.0,2.21
2449,京元電子,5886000.0,2.03
8210,勤誠,1857000.0,1.98
6805,富世達,893000.0,1.87
6515,穎崴,248000.0,1.83
3711,日月光投控,4258000.0,1.72
1303,南亞,15336000.0,1.64
6669,緯穎,273000.0,1.31
6139,亞翔,1704000.0,1.16
2454,聯發科,486000.0,1.0
6488,環球晶,1700000.0,0.9
6274,台燿,1463000.0,0.88
2404,漢唐,573000.0,0.66
4979,華星光,1219000.0,0.62
3211,順達,1576000.0,0.58
8358,金居,1864000.0,0.56
3189,景碩,1310000.0,0.53
1326,台化,8827000.0,0.47
1802,台玻,5996000.0,0.44
6191,精成科,3399000.0,0.4
3376,新日興,1425000.0,0.37
3264,欣銓,1789000.0,0.32
3324,雙鴻,158000.0,0.2
3533,嘉澤,100000.0,0.2
8996,高力,151000.0,0.17
1319,東陽,1501000.0,0.15
2002,中鋼,4926000.0,0.11
3217,優群,355000.0,0.07
3008,大立光,7000.0,0.02
2059,川湖,4000.0,0.02
2357,華碩,5000.0,0.0
1815,富喬,2000.0,0.0
2439,美律,5000.0,0.0
8299,群聯,1000.0,0.0
3045,台灣大,5000.0,0.0
5536,聖暉*,4000.0,0.0
2313,華通,4000.0,0.0
3583,辛耘,5000.0,0.0
