股票代號,股票名稱,股數,權重(%)
2330,台積電,3176000.0,9.8
2383,台光電,2077000.0,6.43
6669,緯穎,710000.0,6.19
3017,奇鋐,2166000.0,6.14
2345,智邦,2377000.0,5.3
2368,金像電,4078000.0,5.11
2308,台達電,2602000.0,5.04
6223,旺矽,1103000.0,4.85
3665,貿聯-KY,1562848.0,4.64
6274,台燿,4877000.0,4.57
2317,鴻海,8470000.0,3.83
3653,健策,758000.0,3.82
2454,聯發科,1238000.0,3.54
3661,世芯-KY,446000.0,3.16
8299,群聯,1085000.0,3.05
6805,富世達,1016000.0,3.04
8210,勤誠,1498000.0,2.78
2449,京元電子,4104000.0,2.14
5274,信驊,142000.0,2.01
2059,川湖,232000.0,1.56
2404,漢唐,806000.0,1.51
8358,金居,1668000.0,0.94
2313,華通,4735000.0,0.87
5536,聖暉*,513000.0,0.76
6191,精成科,3138000.0,0.68
3533,嘉澤,253000.0,0.64
1303,南亞,5323000.0,0.59
6139,亞翔,470000.0,0.52
3715,定穎投控,2002960.0,0.5
4958,臻鼎-KY,1739000.0,0.48
3211,順達,570000.0,0.37
3515,華擎,717000.0,0.35
2354,鴻準,2567000.0,0.31
1319,東陽,1575000.0,0.3
6515,穎崴,51000.0,0.29
3231,緯創,550000.0,0.17
5347,世界,958000.0,0.17
2327,國巨*,339000.0,0.16
3217,優群,326000.0,0.1
8996,高力,51000.0,0.06
3008,大立光,3000.0,0.02
6510,精測,2000.0,0.01
3044,健鼎,1000.0,0.0
2357,華碩,2000.0,0.0
2439,美律,2000.0,0.0
3045,台灣大,2000.0,0.0
3081,聯亞,1000.0,0.0
2884,玉山金,2010.0,0.0
3583,辛耘,2000.0,0.0
3711,日月光投控,2000.0,0.0
