股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1477,已清倉,0.0,,0.0,0.0,持平
1504,已清倉,0.0,,0.0,0.0,持平
1519,已清倉,0.0,,0.0,0.0,持平
1590,已清倉,0.0,,0.0,0.0,持平
2027,已清倉,0.0,,0.0,0.0,持平
2059,川湖科技,110000.0,4.56,110000.0,0.0,持平
2308,台達電子工業,475000.0,5.33,475000.0,0.0,持平
2317,鴻海精密工業,1286000.0,1.88,1286000.0,0.0,持平
2327,國巨,345000.0,2.2,0.0,345000.0,新買入
2330,台灣積體電路製造,704000.0,9.53,704000.0,0.0,持平
2344,華邦電子,1153000.0,1.43,1839000.0,-686000.0,減碼
2345,智邦科技,130000.0,1.75,194000.0,-64000.0,減碼
2360,致茂電子,143000.0,1.77,204000.0,-61000.0,減碼
2368,金像電子（股）公司,393000.0,2.76,393000.0,0.0,持平
2376,技嘉科技,424000.0,0.8,424000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,530000.0,1.1,530000.0,0.0,持平
2383,台光電子材料,134000.0,4.28,134000.0,0.0,持平
2408,南亞科技,568000.0,1.54,885000.0,-317000.0,減碼
2449,已清倉,0.0,,0.0,0.0,持平
2454,聯發科技,269000.0,6.57,188000.0,81000.0,加碼
2548,已清倉,0.0,,0.0,0.0,持平
2723,已清倉,0.0,,0.0,0.0,持平
2881,已清倉,0.0,,0.0,0.0,持平
2884,玉山金融控股,3867622.0,0.78,3867622.0,0.0,持平
2891,中國信託金融控股,2849000.0,1.14,2849000.0,0.0,持平
3008,大立光電,35000.0,1.02,0.0,35000.0,新買入
3017,奇鋐科技,131000.0,1.86,131000.0,0.0,持平
3036,文曄科技,1067000.0,1.32,1067000.0,0.0,持平
3037,欣興電子,562000.0,3.25,562000.0,0.0,持平
3044,健鼎科技,164000.0,0.49,276000.0,-112000.0,減碼
3081,聯亞光電工業,216000.0,2.59,127000.0,89000.0,加碼
3189,景碩科技,139000.0,0.64,305000.0,-166000.0,減碼
3211,已清倉,0.0,,0.0,0.0,持平
3231,緯創資通,700000.0,0.63,1228000.0,-528000.0,減碼
3264,欣銓科技,172000.0,0.22,172000.0,0.0,持平
3293,鈊象電子,124000.0,0.53,124000.0,0.0,持平
3443,創意電子,70000.0,1.92,70000.0,0.0,持平
3526,已清倉,0.0,,0.0,0.0,持平
3529,力旺電子,60000.0,1.1,60000.0,0.0,持平
3533,嘉澤端子工業,13000.0,0.16,13000.0,0.0,持平
3653,健策精密工業,151000.0,2.9,57000.0,94000.0,加碼
3661,已清倉,0.0,,0.0,0.0,持平
3665,貿聯控股（BizLink Holding In,53336.0,0.58,53336.0,0.0,持平
3711,日月光投資控股,400000.0,1.45,584000.0,-184000.0,減碼
4749,已清倉,0.0,,0.0,0.0,持平
4915,已清倉,0.0,,0.0,0.0,持平
5234,已清倉,0.0,,0.0,0.0,持平
5274,信驊科技,13000.0,1.28,22000.0,-9000.0,減碼
5434,已清倉,0.0,,0.0,0.0,持平
5439,已清倉,0.0,,0.0,0.0,持平
5904,寶雅國際,312450.0,1.17,312450.0,0.0,持平
6121,已清倉,0.0,,0.0,0.0,持平
6223,旺矽科技,84000.0,3.29,84000.0,0.0,持平
6274,台燿科技,130000.0,1.25,208000.0,-78000.0,減碼
6442,光紅建聖,37000.0,0.39,71000.0,-34000.0,減碼
6510,已清倉,0.0,,0.0,0.0,持平
6515,穎崴科技,55000.0,2.84,37000.0,18000.0,加碼
6561,已清倉,0.0,,0.0,0.0,持平
6584,已清倉,0.0,,0.0,0.0,持平
6669,緯穎科技服務,39000.0,1.0,52000.0,-13000.0,減碼
6805,富世達,54000.0,0.54,92000.0,-38000.0,減碼
6811,已清倉,0.0,,0.0,0.0,持平
6831,邁科科技,83000.0,0.41,224000.0,-141000.0,減碼
7769,鴻勁精密,93000.0,3.65,93000.0,0.0,持平
8046,南亞電路板,219000.0,1.3,219000.0,0.0,持平
8114,已清倉,0.0,,0.0,0.0,持平
8210,勤誠興業,112000.0,0.82,175000.0,-63000.0,減碼
8299,群聯電子,79000.0,1.11,134000.0,-55000.0,減碼
8996,高力熱處理工業,221000.0,1.83,221000.0,0.0,持平
