股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
5536,聖暉*,8.8686,3754000.0,0.0,➖ 持平
2330,台積電,8.794,1967000.0,0.0,➖ 持平
2454,聯發科,7.2953,867000.0,0.0,➖ 持平
6139,亞翔,4.8979,2940000.0,0.0,➖ 持平
3105,穩懋,3.9852,4143000.0,0.0,➖ 持平
6223,旺矽,3.7188,307000.0,0.0,➖ 持平
2345,智邦,3.6777,804000.0,0.0,➖ 持平
2360,致茂,3.509,823000.0,0.0,➖ 持平
4958,臻鼎-KY,3.4951,3147000.0,0.0,➖ 持平
2383,台光電,3.1246,330000.0,0.0,➖ 持平
3491,昇達科,2.8305,967000.0,0.0,➖ 持平
6669,緯穎,2.7302,296000.0,0.0,➖ 持平
2303,聯電,2.3991,9007000.0,0.0,➖ 持平
2059,川湖,2.3976,183000.0,0.0,➖ 持平
6285,啟碁,2.0819,4029000.0,0.0,➖ 持平
6488,環球晶,2.0494,1146000.0,0.0,➖ 持平
3264,欣銓,1.9863,4628000.0,0.0,➖ 持平
6257,矽格,1.9587,4687000.0,0.0,➖ 持平
2472,立隆電,1.9037,2620000.0,0.0,➖ 持平
3017,奇鋐,1.8464,407000.0,0.0,➖ 持平
3583,辛耘,1.724,1121000.0,0.0,➖ 持平
3008,大立光,1.6723,201000.0,0.0,➖ 持平
2467,志聖,1.5841,1461000.0,0.0,➖ 持平
1785,光洋科,1.5138,5527000.0,0.0,➖ 持平
2327,國巨*,1.5093,853000.0,0.0,➖ 持平
2377,微星,1.499,5688000.0,0.0,➖ 持平
6274,台燿,1.3003,440000.0,0.0,➖ 持平
7769,鴻勁,1.2613,93000.0,0.0,➖ 持平
8016,矽創,1.1404,2211000.0,0.0,➖ 持平
3711,日月光投控,1.1195,1008000.0,0.0,➖ 持平
3702,大聯大,1.0968,5420000.0,0.0,➖ 持平
2316,楠梓電,1.0892,3374000.0,0.0,➖ 持平
6147,頎邦,1.0152,2300000.0,-700000.0,🔻 減少
3036,文曄,0.9831,2311000.0,0.0,➖ 持平
2368,金像電,0.974,392000.0,0.0,➖ 持平
6531,愛普*,0.9709,554000.0,0.0,➖ 持平
6278,台表科,0.8949,2201000.0,0.0,➖ 持平
8996,高力,0.8882,376000.0,0.0,➖ 持平
2376,技嘉,0.7,1064000.0,0.0,➖ 持平
6239,力成,0.4308,700000.0,700000.0,🔥 新進
6805,富世達,0.3951,121000.0,0.0,➖ 持平
2351,順德,0.3117,900000.0,0.0,➖ 持平
2451,創見,0.3028,519000.0,0.0,➖ 持平
5274,信驊,0.3017,9000.0,0.0,➖ 持平
2885,元大金,0.2587,2114420.0,0.0,➖ 持平
3376,新日興,0.1371,359000.0,0.0,➖ 持平
6177,達麗,0.0172,194350.0,0.0,➖ 持平
3443,創意,0.009,1000.0,0.0,➖ 持平
6187,萬潤,0.0021,1000.0,1000.0,🔥 新進
8046,南電,0.0016,1000.0,0.0,➖ 持平
4441,振大環球,0.0014,4000.0,0.0,➖ 持平
8358,金居,0.0011,1000.0,0.0,➖ 持平
1519,華城,0.0008,600.0,0.0,➖ 持平
3665,貿聯-KY,0.0005,136.0,0.0,➖ 持平
3706,神達,0.0002,1400.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
2886,兆豐金,0.0,1000.0,0.0,➖ 持平
1319,東陽,,0.0,0.0,➖ 持平
2308,台達電,,0.0,0.0,➖ 持平
2313,華通,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2347,聯強,,0.0,0.0,➖ 持平
2404,漢唐,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2548,華固,,0.0,0.0,➖ 持平
2606,裕民,,0.0,0.0,➖ 持平
3030,德律,,0.0,0.0,➖ 持平
3131,弘塑,,0.0,0.0,➖ 持平
3211,順達,,0.0,0.0,➖ 持平
3231,緯創,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3529,力旺,,0.0,0.0,➖ 持平
3533,嘉澤,,0.0,0.0,➖ 持平
4938,和碩,,0.0,0.0,➖ 持平
5289,宜鼎,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6510,精測,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
6831,邁科,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
8464,億豐,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
