股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,8.6661,1937000.0,0.0,➖ 持平
2454,聯發科,7.3323,862000.0,-11000.0,🔻 減少
5536,聖暉*,7.0427,3754000.0,-50000.0,🔻 減少
6139,亞翔,3.9735,2774000.0,-39000.0,🔻 減少
3105,穩懋,3.8859,3983000.0,-56000.0,🔻 減少
3491,昇達科,3.7628,967000.0,-13000.0,🔻 減少
2360,致茂,3.7439,823000.0,-12000.0,🔻 減少
2345,智邦,3.6651,804000.0,-12000.0,🔻 減少
6223,旺矽,3.1827,307000.0,-5000.0,🔻 減少
6147,頎邦,3.125,5916000.0,-71000.0,🔻 減少
4958,臻鼎-KY,3.0762,3147000.0,-45000.0,🔻 減少
6669,緯穎,3.0464,296000.0,-4000.0,🔻 減少
2383,台光電,3.0148,330000.0,-5000.0,🔻 減少
2303,聯電,2.3958,9007000.0,-112000.0,🔻 減少
6285,啟碁,2.3175,4029000.0,-54000.0,🔻 減少
3017,奇鋐,2.0657,407000.0,-5000.0,🔻 減少
6488,環球晶,2.025,1146000.0,-13000.0,🔻 減少
2472,立隆電,1.9929,2790000.0,-30000.0,🔻 減少
6257,矽格,1.8943,4687000.0,-69000.0,🔻 減少
3264,欣銓,1.8177,4508000.0,-4668000.0,🔻 減少
3583,辛耘,1.7806,1121000.0,-17000.0,🔻 減少
2059,川湖,1.7458,183000.0,-3000.0,🔻 減少
2467,志聖,1.6148,1461000.0,-23000.0,🔻 減少
2377,微星,1.5931,5688000.0,-48000.0,🔻 減少
1785,光洋科,1.4961,5527000.0,-80000.0,🔻 減少
3008,大立光,1.4547,201000.0,-3000.0,🔻 減少
6274,台燿,1.3151,440000.0,-6000.0,🔻 減少
2327,國巨*,1.3088,823000.0,-10000.0,🔻 減少
3036,文曄,1.262,2311000.0,-33000.0,🔻 減少
8016,矽創,1.2552,2211000.0,-29000.0,🔻 減少
7769,鴻勁,1.2543,93000.0,-1000.0,🔻 減少
3702,大聯大,1.2124,5420000.0,-78000.0,🔻 減少
6531,愛普*,1.1195,554000.0,-4000.0,🔻 減少
3711,日月光投控,1.1179,1008000.0,-14000.0,🔻 減少
2316,楠梓電,1.0211,3374000.0,-48000.0,🔻 減少
2368,金像電,0.9395,392000.0,-6000.0,🔻 減少
6278,台表科,0.8874,2201000.0,-34000.0,🔻 減少
2404,漢唐,0.8106,375000.0,-4000.0,🔻 減少
8996,高力,0.7421,376000.0,-6000.0,🔻 減少
2451,創見,0.7133,1044000.0,-6000.0,🔻 減少
2351,順德,0.5075,1350000.0,-19000.0,🔻 減少
6805,富世達,0.4981,121000.0,120000.0,🔺 增加
2376,技嘉,0.3905,532000.0,-6000.0,🔻 減少
5274,信驊,0.3061,9000.0,0.0,➖ 持平
3376,新日興,0.1427,359000.0,-5000.0,🔻 減少
2885,元大金,0.1248,1114420.0,-14000.0,🔻 減少
6177,達麗,0.0302,374350.0,-22000.0,🔻 減少
3443,創意,0.0085,1000.0,0.0,➖ 持平
8046,南電,0.0016,1000.0,-1000.0,🔻 減少
4441,振大環球,0.0015,4000.0,0.0,➖ 持平
8358,金居,0.0011,1000.0,0.0,➖ 持平
1519,華城,0.0009,600.0,0.0,➖ 持平
3665,貿聯-KY,0.0005,136.0,0.0,➖ 持平
3706,神達,0.0002,1400.0,0.0,➖ 持平
2886,兆豐金,0.0,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
1319,東陽,,0.0,0.0,➖ 持平
2308,台達電,,0.0,0.0,➖ 持平
2313,華通,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2347,聯強,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2548,華固,,0.0,-2000.0,👋 賣出
2606,裕民,,0.0,0.0,➖ 持平
3030,德律,,0.0,0.0,➖ 持平
3131,弘塑,,0.0,0.0,➖ 持平
3211,順達,,0.0,0.0,➖ 持平
3231,緯創,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3529,力旺,,0.0,0.0,➖ 持平
3533,嘉澤,,0.0,0.0,➖ 持平
4938,和碩,,0.0,0.0,➖ 持平
5289,宜鼎,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6510,精測,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
6831,邁科,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
8464,億豐,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
