股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,8.0156,1747000.0,19000.0,🔺 增加
5536,聖暉*,7.0722,3602000.0,100000.0,🔺 增加
6669,緯穎,5.9161,513000.0,0.0,➖ 持平
2383,台光電,5.2474,515000.0,5000.0,🔺 增加
3105,穩懋,4.2171,4118000.0,0.0,➖ 持平
2454,聯發科,4.1389,573000.0,0.0,➖ 持平
2345,智邦,4.0512,805000.0,8000.0,🔺 增加
3264,欣銓,4.0462,8512000.0,82000.0,🔺 增加
2360,致茂,4.0062,806000.0,7000.0,🔺 增加
6223,旺矽,3.7593,318000.0,30000.0,🔺 增加
2308,台達電,3.4632,774000.0,8000.0,🔺 增加
3491,昇達科,3.3877,953000.0,10000.0,🔺 增加
6139,亞翔,3.1177,2199000.0,26000.0,🔺 增加
6257,矽格,3.0995,7074000.0,64000.0,🔺 增加
2059,川湖,2.6692,246000.0,0.0,➖ 持平
4958,臻鼎-KY,2.5332,2770000.0,0.0,➖ 持平
6147,頎邦,2.3364,5888000.0,0.0,➖ 持平
6285,啟碁,2.2272,3984000.0,28000.0,🔺 增加
6488,環球晶,1.9251,1242000.0,7000.0,🔺 增加
3017,奇鋐,1.8378,344000.0,7000.0,🔺 增加
3583,辛耘,1.7828,893000.0,3000.0,🔺 增加
2467,志聖,1.7336,1340000.0,11000.0,🔺 增加
2303,聯電,1.644,8084000.0,44000.0,🔺 增加
1785,光洋科,1.6391,5150000.0,54000.0,🔺 增加
2472,立隆電,1.5085,3126000.0,11000.0,🔺 增加
6805,富世達,1.2292,325000.0,0.0,➖ 持平
3533,嘉澤,1.0726,200000.0,1000.0,🔺 增加
5289,宜鼎,1.0651,292000.0,2000.0,🔺 增加
3030,德律,1.0336,1208000.0,11000.0,🔺 增加
3711,日月光投控,1.0057,888000.0,500000.0,🔺 增加
6510,精測,0.983,126000.0,0.0,➖ 持平
6274,台燿,0.908,303000.0,2000.0,🔺 增加
8996,高力,0.824,389000.0,0.0,➖ 持平
2404,漢唐,0.8134,384000.0,0.0,➖ 持平
2347,聯強,0.7129,4151000.0,42000.0,🔺 增加
3211,順達,0.6915,858000.0,9000.0,🔺 增加
3131,弘塑,0.5939,95000.0,0.0,➖ 持平
2313,華通,0.5681,1160000.0,12000.0,🔺 增加
2368,金像電,0.4882,175000.0,2000.0,🔺 增加
3665,貿聯-KY,0.3313,64136.0,0.0,➖ 持平
4938,和碩,0.2273,1345000.0,0.0,➖ 持平
5274,信驊,0.2209,6000.0,0.0,➖ 持平
8046,南電,0.1946,107000.0,0.0,➖ 持平
6177,達麗,0.1791,1862350.0,0.0,➖ 持平
3376,新日興,0.1533,371000.0,0.0,➖ 持平
2885,元大金,0.1326,1150420.0,0.0,➖ 持平
8464,億豐,0.1023,148000.0,0.0,➖ 持平
1319,東陽,0.0586,355000.0,0.0,➖ 持平
4441,振大環球,0.0276,62000.0,0.0,➖ 持平
3443,創意,0.011,1000.0,0.0,➖ 持平
2548,華固,0.0078,30600.0,0.0,➖ 持平
1519,華城,0.0011,600.0,0.0,➖ 持平
8358,金居,0.0009,1000.0,0.0,➖ 持平
3706,神達,0.0002,1400.0,0.0,➖ 持平
2886,兆豐金,0.0,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
2316,楠梓電,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2327,國巨*,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2451,創見,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2606,裕民,,0.0,0.0,➖ 持平
3008,大立光,,0.0,0.0,➖ 持平
3036,文曄,,0.0,0.0,➖ 持平
3231,緯創,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3529,力旺,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
7769,鴻勁,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
