股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,8.7722,1794000.0,0.0,➖ 持平
5536,聖暉*,7.3699,3792000.0,0.0,➖ 持平
2454,聯發科,7.1555,887000.0,0.0,➖ 持平
6139,亞翔,5.9582,3775000.0,550000.0,🔺 增加
6669,緯穎,5.8677,480000.0,53000.0,🔺 增加
2345,智邦,4.0034,831000.0,0.0,➖ 持平
6223,旺矽,3.6769,307000.0,0.0,➖ 持平
2383,台光電,3.4214,333000.0,0.0,➖ 持平
2360,致茂,3.3847,837000.0,0.0,➖ 持平
2059,川湖,3.2959,185000.0,0.0,➖ 持平
4958,臻鼎-KY,2.7637,3178000.0,0.0,➖ 持平
3105,穩懋,2.7116,4226000.0,0.0,➖ 持平
2303,聯電,2.2534,9256000.0,0.0,➖ 持平
6531,愛普*,2.1853,1445000.0,300000.0,🔺 增加
3491,昇達科,2.1709,988000.0,0.0,➖ 持平
3017,奇鋐,2.1412,407000.0,0.0,➖ 持平
6488,環球晶,2.0511,1148000.0,0.0,➖ 持平
3008,大立光,2.0507,251000.0,0.0,➖ 持平
6257,矽格,1.9784,4905000.0,0.0,➖ 持平
3264,欣銓,1.8491,4780000.0,0.0,➖ 持平
2377,微星,1.6908,5731000.0,0.0,➖ 持平
3583,辛耘,1.6325,1181000.0,0.0,➖ 持平
2467,志聖,1.5755,1535000.0,0.0,➖ 持平
3702,大聯大,1.3799,5766000.0,0.0,➖ 持平
8016,矽創,1.3125,2305000.0,0.0,➖ 持平
3711,日月光投控,1.2988,1032000.0,0.0,➖ 持平
7769,鴻勁,1.2593,95000.0,0.0,➖ 持平
6274,台燿,1.1528,458000.0,0.0,➖ 持平
2472,立隆電,1.1332,2383000.0,0.0,➖ 持平
2316,楠梓電,1.0845,3528000.0,0.0,➖ 持平
3036,文曄,1.0358,2455000.0,0.0,➖ 持平
5274,信驊,1.0184,30900.0,0.0,➖ 持平
1785,光洋科,0.9887,4500000.0,0.0,➖ 持平
2327,國巨*,0.9612,844000.0,0.0,➖ 持平
2351,順德,0.7639,2366000.0,633000.0,🔺 增加
8996,高力,0.7408,382000.0,0.0,➖ 持平
2376,技嘉,0.7237,1081000.0,0.0,➖ 持平
6278,台表科,0.7093,2363000.0,0.0,➖ 持平
3529,力旺,0.4585,93000.0,0.0,➖ 持平
6831,邁科,0.3543,304000.0,300000.0,🔺 增加
6239,力成,0.3493,710000.0,0.0,➖ 持平
2451,創見,0.3072,530000.0,0.0,➖ 持平
2885,元大金,0.2986,2128420.0,0.0,➖ 持平
6187,萬潤,0.1886,91000.0,0.0,➖ 持平
3231,緯創,0.1151,300000.0,0.0,➖ 持平
6177,達麗,0.0189,194350.0,0.0,➖ 持平
3443,創意,0.0086,1000.0,0.0,➖ 持平
2368,金像電,0.0035,2000.0,0.0,➖ 持平
8046,南電,0.0019,1000.0,0.0,➖ 持平
4441,振大環球,0.0014,4000.0,0.0,➖ 持平
1519,華城,0.0008,600.0,0.0,➖ 持平
8358,金居,0.0006,1000.0,0.0,➖ 持平
3706,神達,0.0002,1400.0,0.0,➖ 持平
2886,兆豐金,0.0001,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
1319,東陽,,0.0,0.0,➖ 持平
2308,台達電,,0.0,0.0,➖ 持平
2313,華通,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2347,聯強,,0.0,0.0,➖ 持平
2404,漢唐,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2548,華固,,0.0,0.0,➖ 持平
2606,裕民,,0.0,0.0,➖ 持平
3030,德律,,0.0,0.0,➖ 持平
3131,弘塑,,0.0,0.0,➖ 持平
3211,順達,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3376,新日興,,0.0,0.0,➖ 持平
3533,嘉澤,,0.0,0.0,➖ 持平
3665,貿聯-KY,,0.0,0.0,➖ 持平
4938,和碩,,0.0,0.0,➖ 持平
5289,宜鼎,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6147,頎邦,,0.0,0.0,➖ 持平
6285,啟碁,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6510,精測,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
6805,富世達,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
8464,億豐,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
