股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,8.1703,1778000.0,31000.0,🔺 增加
5536,聖暉*,7.3645,3602000.0,0.0,➖ 持平
6669,緯穎,5.6441,513000.0,0.0,➖ 持平
2383,台光電,5.2188,524000.0,9000.0,🔺 增加
2345,智邦,4.4187,816000.0,11000.0,🔺 增加
6223,旺矽,4.0491,318000.0,0.0,➖ 持平
3105,穩懋,4.0305,4118000.0,0.0,➖ 持平
3264,欣銓,4.0094,8649000.0,137000.0,🔺 增加
2454,聯發科,3.9495,573000.0,0.0,➖ 持平
2360,致茂,3.7423,818000.0,12000.0,🔺 增加
2308,台達電,3.4332,787000.0,13000.0,🔺 增加
6139,亞翔,3.2677,2242000.0,43000.0,🔺 增加
3491,昇達科,3.1349,953000.0,0.0,➖ 持平
6257,矽格,3.0599,7181000.0,107000.0,🔺 增加
2059,川湖,2.4949,246000.0,0.0,➖ 持平
4958,臻鼎-KY,2.4476,2770000.0,0.0,➖ 持平
6147,頎邦,2.2229,5888000.0,0.0,➖ 持平
6285,啟碁,2.1384,4032000.0,48000.0,🔺 增加
6488,環球晶,1.9987,1253000.0,11000.0,🔺 增加
3017,奇鋐,1.8412,356000.0,12000.0,🔺 增加
2303,聯電,1.7673,8084000.0,0.0,➖ 持平
3583,辛耘,1.6906,899000.0,6000.0,🔺 增加
2467,志聖,1.6781,1359000.0,19000.0,🔺 增加
1785,光洋科,1.5811,5242000.0,92000.0,🔺 增加
2472,立隆電,1.4733,3144000.0,18000.0,🔺 增加
5289,宜鼎,1.1137,295000.0,3000.0,🔺 增加
6510,精測,1.0585,126000.0,0.0,➖ 持平
3533,嘉澤,1.0018,202000.0,2000.0,🔺 增加
3030,德律,0.9981,1225000.0,17000.0,🔺 增加
3711,日月光投控,0.9917,894000.0,6000.0,🔺 增加
6274,台燿,0.8981,306000.0,3000.0,🔺 增加
8996,高力,0.8386,389000.0,0.0,➖ 持平
2404,漢唐,0.8162,384000.0,0.0,➖ 持平
2347,聯強,0.7121,4223000.0,72000.0,🔺 增加
3211,順達,0.6643,874000.0,16000.0,🔺 增加
2313,華通,0.5864,1180000.0,20000.0,🔺 增加
2368,金像電,0.5152,178000.0,3000.0,🔺 增加
3131,弘塑,0.505,85000.0,-10000.0,🔻 減少
3665,貿聯-KY,0.2739,60136.0,-4000.0,🔻 減少
5274,信驊,0.2163,6000.0,0.0,➖ 持平
4938,和碩,0.2096,1345000.0,0.0,➖ 持平
8046,南電,0.1834,107000.0,0.0,➖ 持平
6177,達麗,0.1722,1862350.0,0.0,➖ 持平
3376,新日興,0.1475,371000.0,0.0,➖ 持平
2885,元大金,0.1292,1150420.0,0.0,➖ 持平
8464,億豐,0.0982,148000.0,0.0,➖ 持平
1319,東陽,0.0569,355000.0,0.0,➖ 持平
4441,振大環球,0.0267,62000.0,0.0,➖ 持平
3443,創意,0.0102,1000.0,0.0,➖ 持平
6805,富世達,0.0036,1000.0,-324000.0,🔻 減少
1519,華城,0.001,600.0,0.0,➖ 持平
8358,金居,0.0008,1000.0,0.0,➖ 持平
2548,華固,0.0005,2000.0,-28600.0,🔻 減少
3706,神達,0.0002,1400.0,0.0,➖ 持平
2886,兆豐金,0.0,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
2316,楠梓電,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2327,國巨*,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2451,創見,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2606,裕民,,0.0,0.0,➖ 持平
3008,大立光,,0.0,0.0,➖ 持平
3036,文曄,,0.0,0.0,➖ 持平
3231,緯創,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3529,力旺,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
7769,鴻勁,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
