證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"2,300,000","5,025,500,000",14.929%
2383,台光電子,"765,000","3,423,375,000",10.170%
3037,欣興電子,"3,200,000","2,528,000,000",7.510%
8299,群聯電子,"1,300,000","2,184,000,000",6.488%
2308,台達電子,"1,020,000","2,116,500,000",6.287%
5274,信驊科技,"100,000","1,637,000,000",4.863%
3017,奇鋐科技,"550,000","1,619,750,000",4.812%
2345,智邦科技,"700,000","1,498,000,000",4.450%
8046,南亞電路,"1,650,000","1,442,100,000",4.284%
2368,金像電子,"1,000,000","1,390,000,000",4.129%
2408,南亞科技,"6,200,000","1,277,200,000",3.794%
7769,鴻勁精密,"270,000","1,277,100,000",3.794%
2454,聯發科技,"500,000","1,217,500,000",3.617%
6223,旺矽科技,"260,000","1,209,000,000",3.592%
3653,健策精密,"200,000","1,074,000,000",3.190%
3189,景碩科技,"2,000,000","1,052,000,000",3.125%
3665,貿聯-KY,"370,000","1,023,050,000",3.039%
2360,致茂電子,"460,000","883,200,000",2.624%
2327,國巨股份,"1,100,000","326,700,000",0.971%
2404,漢唐集成,"330,000","326,370,000",0.970%
1590,亞德客-KY,"235,000","319,600,000",0.949%
3081,聯亞光電,"110,000","310,200,000",0.921%
6515,穎崴科技,"1,000","10,060,000",0.030%
3711,日月光投,"9,000","4,464,000",0.013%
2059,川湖科技,"1,000","3,795,000",0.011%
6510,中華精測,"1,000","3,630,000",0.011%
2382,廣達電腦,"9,000","2,907,000",0.009%
2449,京元電子,"9,000","2,574,000",0.008%
2317,鴻海精密,"9,000","1,993,500",0.006%
2313,華通電腦,"9,000","1,930,500",0.006%
2603,長榮海運,"9,000","1,813,500",0.005%
3231,緯創資通,"9,000","1,273,500",0.004%
5347,世界先進,"9,000","1,264,500",0.004%
8210,勤誠興業,"1,000","1,210,000",0.004%
2337,旺宏電子,"9,000","1,188,000",0.004%
6274,台燿科技,"1,000","1,045,000",0.003%
1519,華城電機,"1,000","886,000",0.003%
2344,華邦電子,"9,000","793,800",0.002%
2881,富邦金融,"9,000","790,200",0.002%
2882,國泰金融,"9,000","674,100",0.002%
3044,健鼎科技,"1,000","480,500",0.001%
2891,中國信託,"9,000","476,100",0.001%
2885,元大金融,"9,000","449,550",0.001%
2890,永豐金融,"9,000","287,550",0.001%
3036,文曄科技,"1,000","199,000",0.001%
2412,中華電信,"1,000","135,500",0.000%
3045,台灣大哥,"1,000","113,000",0.000%
5871,中租-KY,"1,000","121,500",0.000%
1303,南亞塑膠,"1,000","85,900",0.000%
6505,台塑石化,"1,000","51,600",0.000%
