證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,650,000","8,176,000,000",17.733%
8299,群聯電子,"1,360,000","3,719,600,000",8.068%
2383,台光電子,"765,000","3,476,925,000",7.541%
3037,欣興電子,"3,200,000","2,611,200,000",5.664%
2327,國巨股份,"4,900,000","2,454,900,000",5.325%
2408,南亞科技,"7,100,000","2,165,500,000",4.697%
2345,智邦科技,"800,000","1,996,000,000",4.329%
2308,台達電子,"900,000","1,818,000,000",3.943%
2454,聯發科技,"500,000","1,700,000,000",3.687%
3017,奇鋐科技,"700,000","1,687,000,000",3.659%
6669,緯穎科技,"330,000","1,679,700,000",3.643%
7769,鴻勁精密,"250,000","1,663,750,000",3.609%
5274,信驊科技,"100,000","1,615,000,000",3.503%
6223,旺矽科技,"260,000","1,595,100,000",3.460%
2368,金像電子,"1,220,000","1,525,000,000",3.308%
6515,穎崴科技,"135,000","1,382,400,000",2.998%
8046,南亞電路,"1,650,000","1,305,150,000",2.831%
8210,勤誠興業,"800,000","1,104,000,000",2.395%
2360,致茂電子,"500,000","1,092,500,000",2.370%
8996,高力熱處,"850,000","888,250,000",1.927%
3189,景碩科技,"1,750,000","883,750,000",1.917%
2059,川湖科技,"1,000","4,765,000",0.010%
3711,日月光投,"9,000","4,590,000",0.010%
6510,中華精測,"1,000","3,720,000",0.008%
3653,健策精密,"1,000","3,270,000",0.007%
2382,廣達電腦,"9,000","2,700,000",0.006%
2449,京元電子,"9,000","2,655,000",0.006%
2313,華通電腦,"9,000","2,331,000",0.005%
2317,鴻海精密,"9,000","2,236,500",0.005%
3665,貿聯-KY,"1,000","2,025,000",0.004%
2603,長榮海運,"9,000","1,777,500",0.004%
1590,亞德客-KY,"1,000","1,450,000",0.003%
2337,旺宏電子,"9,000","1,440,000",0.003%
5347,世界先進,"9,000","1,431,000",0.003%
6274,台燿科技,"1,000","1,260,000",0.003%
3231,緯創資通,"9,000","1,219,500",0.003%
2344,華邦電子,"9,000","1,174,500",0.003%
2404,漢唐集成,"1,000","1,005,000",0.002%
3324,雙鴻科技,"1,000","982,000",0.002%
2881,富邦金融,"9,000","856,800",0.002%
1519,華城電機,"1,000","804,000",0.002%
2882,國泰金融,"9,000","691,200",0.001%
2885,元大金融,"9,000","488,700",0.001%
3044,健鼎科技,"1,000","469,000",0.001%
2891,中國信託,"9,000","493,200",0.001%
3036,文曄科技,"1,000","263,500",0.001%
2890,永豐金融,"9,000","270,000",0.001%
2412,中華電信,"1,000","137,000",0.000%
3045,台灣大哥,"1,000","114,000",0.000%
1303,南亞塑膠,"1,000","84,200",0.000%
