證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"4,500,000","10,687,500,000",12.291%
2383,台光電子,"1,430,000","8,558,550,000",9.843%
2408,南亞科技,"14,000,000","7,238,000,000",8.324%
2059,川湖科技,"510,000","7,101,750,000",8.167%
3037,欣興電子,"5,000,000","5,700,000,000",6.555%
2327,國巨股份,"7,700,000","4,327,400,000",4.977%
8046,南亞電路,"3,250,000","3,883,750,000",4.466%
6669,緯穎科技,"600,000","3,795,000,000",4.364%
2345,智邦科技,"1,800,000","3,789,000,000",4.357%
6274,台燿科技,"2,400,000","3,780,000,000",4.347%
3017,奇鋐科技,"1,250,000","3,731,250,000",4.291%
6223,旺矽科技,"660,000","3,729,000,000",4.288%
2454,聯發科技,"1,000,000","3,700,000,000",4.255%
3189,景碩科技,"4,100,000","3,489,100,000",4.013%
7769,鴻勁精密,"400,000","2,582,000,000",2.969%
3081,聯亞光電,"700,000","1,946,000,000",2.238%
3026,禾伸堂企,"2,700,000","1,917,000,000",2.205%
3653,健策精密,"340,000","1,904,000,000",2.190%
5274,信驊科技,"120,500","1,897,875,000",2.183%
8299,群聯電子,"880,000","1,755,600,000",2.019%
3008,大立光電,"1,000","5,515,000",0.006%
3711,日月光投,"9,000","5,310,000",0.006%
2382,廣達電腦,"9,000","2,943,000",0.003%
2317,鴻海精密,"9,000","2,218,500",0.003%
2603,長榮海運,"9,000","2,214,000",0.003%
3665,貿聯-KY,"1,000","2,250,000",0.003%
2360,致茂電子,"1,000","2,140,000",0.002%
2308,台達電子,"1,000","1,745,000",0.002%
3231,緯創資通,"9,000","1,620,000",0.002%
5347,世界先進,"9,000","1,381,500",0.002%
2881,富邦金融,"9,000","1,152,000",0.001%
2404,漢唐集成,"1,000","1,075,000",0.001%
2357,華碩電腦,"1,000","913,000",0.001%
2882,國泰金融,"9,000","879,300",0.001%
2379,瑞昱半導,"1,000","703,000",0.001%
2885,元大金融,"9,360","581,256",0.001%
2891,中國信託,"9,000","570,600",0.001%
3044,健鼎科技,"1,000","485,500",0.001%
2890,永豐金融,"9,000","354,150",0.000%
2886,兆豐金融,"9,000","417,600",0.000%
2880,華南金融,"9,090","352,692",0.000%
2887,台新新光,"9,000","323,550",0.000%
2883,凱基金融,"9,000","273,600",0.000%
2884,玉山金融,"9,000","336,150",0.000%
2449,京元電子,"1,450","340,750",0.000%
2313,華通電腦,"1,253","272,528",0.000%
2912,統一超商,"1,000","220,000",0.000%
3036,文曄科技,"1,000","205,500",0.000%
2412,中華電信,"1,000","136,500",0.000%
1216,統一企業,"1,000","78,200",0.000%
