證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"5,000,000","12,000,000,000",12.994%
2383,台光電子,"1,430,000","9,080,500,000",9.833%
2408,南亞科技,"14,000,000","7,336,000,000",7.944%
2059,川湖科技,"500,000","6,875,000,000",7.444%
3037,欣興電子,"5,000,000","5,600,000,000",6.064%
2327,國巨股份,"7,700,000","4,681,600,000",5.069%
2454,聯發科技,"1,150,000","4,657,500,000",5.043%
6223,旺矽科技,"720,000","4,176,000,000",4.522%
2345,智邦科技,"1,800,000","4,122,000,000",4.463%
6669,緯穎科技,"600,000","3,972,000,000",4.301%
8046,南亞電路,"3,000,000","3,885,000,000",4.207%
3017,奇鋐科技,"1,200,000","3,780,000,000",4.093%
6274,台燿科技,"2,300,000","3,680,000,000",3.985%
3189,景碩科技,"3,600,000","3,258,000,000",3.528%
7769,鴻勁精密,"400,000","2,700,000,000",2.924%
8299,群聯電子,"1,000,000","2,085,000,000",2.258%
5274,信驊科技,"120,500","2,050,910,000",2.221%
3026,禾伸堂企,"2,700,000","1,860,300,000",2.014%
3711,日月光投,"2,900,000","1,783,500,000",1.931%
3081,聯亞光電,"580,000","1,618,200,000",1.752%
3653,健策精密,"230,000","1,228,200,000",1.330%
3008,大立光電,"1,000","5,070,000",0.005%
2382,廣達電腦,"9,000","3,001,500",0.003%
2360,致茂電子,"1,000","2,360,000",0.003%
2317,鴻海精密,"9,000","2,295,000",0.002%
3665,貿聯-KY,"1,000","2,135,000",0.002%
2603,長榮海運,"9,000","2,083,500",0.002%
2308,台達電子,"1,000","1,885,000",0.002%
3231,緯創資通,"9,000","1,683,000",0.002%
5347,世界先進,"9,000","1,458,000",0.002%
2404,漢唐集成,"1,000","1,155,000",0.001%
2881,富邦金融,"9,000","1,129,500",0.001%
2357,華碩電腦,"1,000","938,000",0.001%
2882,國泰金融,"9,000","882,900",0.001%
2379,瑞昱半導,"1,000","717,000",0.001%
2885,元大金融,"9,000","614,700",0.001%
2891,中國信託,"9,000","590,400",0.001%
3044,健鼎科技,"1,000","483,000",0.001%
2886,兆豐金融,"9,000","419,400",0.000%
2887,台新新光,"9,000","334,350",0.000%
2890,永豐金融,"9,000","356,400",0.000%
2883,凱基金融,"9,000","282,600",0.000%
2884,玉山金融,"9,000","339,750",0.000%
2880,華南金融,"9,090","356,328",0.000%
2449,京元電子,"1,450","360,325",0.000%
3036,文曄科技,"1,000","204,000",0.000%
2912,統一超商,"1,000","213,000",0.000%
2313,華通電腦,"1,253","264,383",0.000%
2412,中華電信,"1,000","136,000",0.000%
1216,統一企業,"1,000","75,200",0.000%
