證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,650,000","8,413,250,000",14.144%
2327,國巨股份,"5,362,000","4,429,012,000",7.446%
2383,台光電子,"800,000","4,052,000,000",6.812%
8299,群聯電子,"1,430,000","3,374,800,000",5.673%
3037,欣興電子,"3,200,000","3,100,800,000",5.213%
2454,聯發科技,"650,000","2,908,750,000",4.890%
2408,南亞科技,"8,000,000","2,904,000,000",4.882%
3017,奇鋐科技,"900,000","2,290,500,000",3.851%
2345,智邦科技,"900,000","2,227,500,000",3.745%
2308,台達電子,"920,000","2,221,800,000",3.735%
6669,緯穎科技,"400,000","2,120,000,000",3.564%
6274,台燿科技,"1,280,000","2,067,200,000",3.475%
6223,旺矽科技,"350,000","2,059,750,000",3.463%
5274,信驊科技,"110,000","1,964,050,000",3.302%
7769,鴻勁精密,"270,000","1,875,150,000",3.152%
8046,南亞電路,"1,750,000","1,599,500,000",2.689%
3189,景碩科技,"2,100,000","1,499,400,000",2.521%
2059,川湖科技,"215,000","1,460,925,000",2.456%
2368,金像電子,"880,000","1,315,600,000",2.212%
8996,高力熱處,"940,000","1,250,200,000",2.102%
8210,勤誠興業,"800,000","1,208,000,000",2.031%
3042,台灣晶技,"5,200,000","1,188,200,000",1.997%
3665,貿聯-KY,"550,000","1,185,250,000",1.993%
6805,富世達股,"540,000","1,053,000,000",1.770%
6515,穎崴科技,"1,000","8,610,000",0.014%
3711,日月光投,"9,000","5,121,000",0.009%
3653,健策精密,"1,000","3,935,000",0.007%
6510,中華精測,"1,000","3,390,000",0.006%
2382,廣達電腦,"9,000","3,375,000",0.006%
2449,京元電子,"9,000","2,619,000",0.004%
2313,華通電腦,"9,000","2,484,000",0.004%
2317,鴻海精密,"9,000","2,497,500",0.004%
2360,致茂電子,"1,000","2,390,000",0.004%
2603,長榮海運,"9,000","1,998,000",0.003%
3231,緯創資通,"9,000","1,489,500",0.003%
5347,世界先進,"9,000","1,449,000",0.002%
2344,華邦電子,"9,000","1,408,500",0.002%
2337,旺宏電子,"9,000","1,309,500",0.002%
2404,漢唐集成,"1,000","1,190,000",0.002%
2881,富邦金融,"9,000","1,125,000",0.002%
3324,雙鴻科技,"1,000","1,110,000",0.002%
2882,國泰金融,"9,000","936,000",0.002%
1519,華城電機,"1,000","843,000",0.001%
2891,中國信託,"9,000","622,800",0.001%
2885,元大金融,"9,000","583,200",0.001%
3044,健鼎科技,"1,000","500,000",0.001%
3036,文曄科技,"1,000","250,000",0.000%
2412,中華電信,"1,000","142,000",0.000%
3045,台灣大哥,"1,000","117,000",0.000%
1303,南亞塑膠,"1,000","99,200",0.000%
