證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"2,000,000","3,420,000,000",19.041%
8299,群聯電子,"770,000","1,366,750,000",7.609%
2408,南亞科技,"4,200,000","993,300,000",5.530%
2308,台達電子,"900,000","954,000,000",5.311%
7769,鴻勁精密,"270,000","946,350,000",5.269%
2383,台光電子,"500,000","835,000,000",4.649%
5274,信驊科技,"100,000","808,500,000",4.501%
3665,貿聯-KY,"530,000","792,350,000",4.411%
3017,奇鋐科技,"520,000","738,400,000",4.111%
1605,華新麗華,"14,000,000","572,600,000",3.188%
2368,金像電子,"830,000","562,740,000",3.133%
6669,緯穎科技,"130,000","514,800,000",2.866%
2345,智邦科技,"420,000","510,300,000",2.841%
8210,勤誠興業,"520,000","509,080,000",2.834%
6274,台燿科技,"1,000,000","485,000,000",2.700%
6223,旺矽科技,"200,000","469,000,000",2.611%
2404,漢唐集成,"400,000","460,000,000",2.561%
1519,華城電機,"510,000","455,430,000",2.536%
2059,川湖科技,"130,000","434,850,000",2.421%
3653,健策精密,"160,000","392,000,000",2.182%
6442,光紅建聖,"250,000","340,000,000",1.893%
1303,南亞塑膠,"5,000,000","317,000,000",1.765%
8358,金居開發,"1,200,000","313,200,000",1.744%
6781,AES-KY,"250,000","301,250,000",1.677%
3711,日月光投,"250,000","73,625,000",0.410%
2449,京元電子,"250,000","67,625,000",0.377%
1590,亞德客-KY,"9,000","9,000,000",0.050%
3324,雙鴻科技,"9,000","8,928,000",0.050%
8464,億豐綜合,"9,000","3,582,000",0.020%
6515,穎崴科技,"1,000","3,495,000",0.019%
3661,世芯-KY,"1,000","3,460,000",0.019%
1477,聚陽實業,"9,000","2,943,000",0.016%
3044,健鼎科技,"9,000","2,871,000",0.016%
2382,廣達電腦,"9,000","2,574,000",0.014%
3443,創意電子,"1,000","2,420,000",0.013%
6510,中華精測,"1,000","2,415,000",0.013%
3037,欣興電子,"9,000","2,250,000",0.013%
2317,鴻海精密,"9,000","2,110,500",0.012%
2603,長榮海運,"9,000","1,746,000",0.010%
2454,聯發科技,"1,000","1,500,000",0.008%
2301,光寶科技,"9,000","1,503,000",0.008%
2645,長榮航太,"9,000","1,354,500",0.008%
3231,緯創資通,"9,000","1,314,000",0.007%
6805,富世達股,"1,000","1,300,000",0.007%
5347,世界先進,"9,000","1,116,000",0.006%
2881,富邦金融,"9,000","844,200",0.005%
2882,國泰金融,"9,000","672,300",0.004%
2891,中國信託,"9,000","443,700",0.002%
2885,元大金融,"9,000","370,350",0.002%
3036,文曄科技,"1,000","154,500",0.001%
