證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,400,000","8,517,000,000",11.845%
2327,國巨股份,"6,150,000","7,011,000,000",9.750%
2383,台光電子,"850,000","4,704,750,000",6.543%
2454,聯發科技,"900,000","3,901,500,000",5.426%
2408,南亞科技,"9,000,000","3,789,000,000",5.269%
3037,欣興電子,"3,600,000","3,744,000,000",5.207%
8299,群聯電子,"1,500,000","3,405,000,000",4.735%
6274,台燿科技,"1,800,000","3,042,000,000",4.231%
6223,旺矽科技,"430,000","2,878,850,000",4.004%
2345,智邦科技,"1,000,000","2,660,000,000",3.699%
8046,南亞電路,"2,100,000","2,467,500,000",3.432%
2059,川湖科技,"310,000","2,373,050,000",3.300%
2303,聯華電子,"14,000,000","2,366,000,000",3.290%
3189,景碩科技,"2,650,000","2,353,200,000",3.273%
7769,鴻勁精密,"300,000","2,088,000,000",2.904%
5274,信驊科技,"120,000","2,057,400,000",2.861%
2492,華新科技,"3,200,000","1,929,600,000",2.684%
3711,日月光投,"2,700,000","1,898,100,000",2.640%
6515,穎崴科技,"200,000","1,778,000,000",2.473%
2344,華邦電子,"8,000,000","1,520,000,000",2.114%
8996,高力熱處,"620,000","964,100,000",1.341%
6669,緯穎科技,"185,000","931,475,000",1.295%
4958,臻鼎-KY,"1,500,000","904,500,000",1.258%
3665,貿聯-KY,"450,000","904,500,000",1.258%
8210,勤誠興業,"690,000","893,550,000",1.243%
2404,漢唐集成,"650,000","845,000,000",1.175%
3017,奇鋐科技,"9,000","23,580,000",0.033%
2308,台達電子,"9,000","17,910,000",0.025%
2368,金像電子,"9,000","10,980,000",0.015%
3653,健策精密,"1,000","3,400,000",0.005%
2382,廣達電腦,"9,000","3,348,000",0.005%
6510,中華精測,"1,000","3,285,000",0.005%
2449,京元電子,"9,000","2,979,000",0.004%
2360,致茂電子,"1,000","2,270,000",0.003%
2317,鴻海精密,"9,000","2,232,000",0.003%
2313,華通電腦,"9,000","1,980,000",0.003%
3042,台灣晶技,"9,000","1,854,000",0.003%
5347,世界先進,"9,000","1,840,500",0.003%
2603,長榮海運,"9,000","1,669,500",0.002%
3231,緯創資通,"9,000","1,435,500",0.002%
2337,旺宏電子,"9,000","1,291,500",0.002%
2881,富邦金融,"9,000","1,102,500",0.002%
3324,雙鴻科技,"1,000","1,010,000",0.001%
2882,國泰金融,"9,000","855,000",0.001%
1519,華城電機,"1,000","757,000",0.001%
2885,元大金融,"9,000","594,000",0.001%
2891,中國信託,"9,000","635,400",0.001%
3044,健鼎科技,"1,000","506,000",0.001%
3036,文曄科技,"1,000","211,000",0.000%
2412,中華電信,"1,000","141,500",0.000%
