證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"1,800,000","2,637,000,000",17.262%
8299,群聯電子,"650,000","763,750,000",5.000%
3665,貿聯-KY,"500,000","737,500,000",4.828%
3017,奇鋐科技,"500,000","737,500,000",4.828%
7769,鴻勁精密,"220,000","726,000,000",4.752%
2308,台達電子,"750,000","714,750,000",4.679%
2383,台光電子,"440,000","704,000,000",4.608%
6669,緯穎科技,"160,000","680,000,000",4.451%
2368,金像電子,"900,000","585,000,000",3.829%
2059,川湖科技,"150,000","559,500,000",3.663%
5274,信驊科技,"75,000","510,000,000",3.339%
2345,智邦科技,"420,000","491,400,000",3.217%
6274,台燿科技,"900,000","408,600,000",2.675%
2408,南亞科技,"2,250,000","405,000,000",2.651%
8210,勤誠興業,"420,000","395,640,000",2.590%
6805,富世達股,"240,000","370,800,000",2.427%
6781,AES-KY,"270,000","356,400,000",2.333%
1519,華城電機,"440,000","345,840,000",2.264%
3653,健策精密,"130,000","343,850,000",2.251%
6223,旺矽科技,"150,000","338,250,000",2.214%
3324,雙鴻科技,"150,000","148,650,000",0.973%
3231,緯創資通,"1,000,000","146,500,000",0.959%
2317,鴻海精密,"650,000","145,600,000",0.953%
6510,中華精測,"60,000","139,200,000",0.911%
2404,漢唐集成,"140,000","130,480,000",0.854%
2882,國泰金融,"1,300,000","99,450,000",0.651%
2891,中國信託,"1,960,000","98,784,000",0.647%
2881,富邦金融,"1,000,000","98,200,000",0.643%
2885,元大金融,"2,450,000","98,000,000",0.642%
3711,日月光投,"400,000","92,800,000",0.607%
2449,京元電子,"300,000","66,300,000",0.434%
3044,健鼎科技,"190,000","59,945,000",0.392%
3036,文曄科技,"380,000","57,380,000",0.376%
2454,聯發科技,"40,000","56,000,000",0.367%
6515,穎崴科技,"20,000","51,800,000",0.339%
1303,南亞塑膠,"850,000","51,340,000",0.336%
8358,金居開發,"200,000","49,800,000",0.326%
6442,光紅建聖,"40,000","47,400,000",0.310%
1590,亞德客-KY,"9,000","8,469,000",0.055%
8464,億豐綜合,"9,000","3,429,000",0.022%
3661,世芯-KY,"1,000","3,225,000",0.021%
1477,聚陽實業,"9,000","2,691,000",0.018%
2382,廣達電腦,"9,000","2,403,000",0.016%
2327,國巨股份,"9,000","2,034,000",0.013%
3443,創意電子,"1,000","2,010,000",0.013%
3037,欣興電子,"9,000","1,984,500",0.013%
2603,長榮海運,"9,000","1,674,000",0.011%
2301,光寶科技,"9,000","1,521,000",0.010%
2645,長榮航太,"9,000","1,305,000",0.009%
5347,世界先進,"9,000","876,600",0.006%
