證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,800,000","9,044,000,000",11.841%
2383,台光電子,"1,380,000","7,017,300,000",9.188%
2408,南亞科技,"13,800,000","6,796,500,000",8.899%
2059,川湖科技,"500,000","6,022,500,000",7.885%
3037,欣興電子,"5,100,000","4,901,100,000",6.417%
2454,聯發科技,"1,080,000","4,892,400,000",6.406%
2327,國巨股份,"7,500,000","4,020,000,000",5.263%
3017,奇鋐科技,"1,250,000","3,968,750,000",5.196%
8046,南亞電路,"3,300,000","3,646,500,000",4.774%
3189,景碩科技,"4,250,000","3,485,000,000",4.563%
6669,緯穎科技,"1,500,020","3,247,543,300",4.252%
5274,信驊科技,"140,500","2,564,125,000",3.357%
3081,聯亞光電,"900,000","2,524,500,000",3.305%
6223,旺矽科技,"450,000","2,520,000,000",3.299%
3026,禾伸堂企,"2,700,000","2,084,400,000",2.729%
2345,智邦科技,"1,100,000","2,024,000,000",2.650%
6274,台燿科技,"1,400,000","1,981,000,000",2.594%
7769,鴻勁精密,"250,000","1,531,250,000",2.005%
3653,健策精密,"290,000","1,519,600,000",1.990%
3711,日月光投,"2,500,000","1,512,500,000",1.980%
3008,大立光電,"1,000","6,225,000",0.008%
2382,廣達電腦,"9,000","3,064,500",0.004%
2317,鴻海精密,"9,000","2,232,000",0.003%
2603,長榮海運,"9,000","2,151,000",0.003%
2360,致茂電子,"1,000","2,090,000",0.003%
3665,貿聯-KY,"1,000","1,995,000",0.003%
8299,群聯電子,"1,000","1,985,000",0.003%
2308,台達電子,"1,000","1,710,000",0.002%
3231,緯創資通,"9,000","1,647,000",0.002%
5347,世界先進,"9,000","1,422,000",0.002%
2881,富邦金融,"9,000","1,377,000",0.002%
2303,聯華電子,"9,000","1,278,000",0.002%
2882,國泰金融,"9,000","1,012,500",0.001%
2357,華碩電腦,"1,000","939,000",0.001%
2379,瑞昱半導,"1,000","720,000",0.001%
2885,元大金融,"9,360","649,584",0.001%
2891,中國信託,"9,000","637,200",0.001%
3044,健鼎科技,"1,000","504,000",0.001%
2884,玉山金融,"9,000","418,050",0.001%
2886,兆豐金融,"9,000","458,100",0.001%
2887,台新新光,"9,000","399,600",0.001%
2890,永豐金融,"9,000","407,700",0.001%
2880,華南金融,"9,090","430,412",0.001%
2883,凱基金融,"9,000","352,350",0.000%
2449,京元電子,"1,450","379,175",0.000%
2313,華通電腦,"1,253","281,925",0.000%
2912,統一超商,"1,000","215,000",0.000%
3036,文曄科技,"1,000","191,000",0.000%
2412,中華電信,"1,000","143,500",0.000%
1216,統一企業,"1,000","74,500",0.000%
