證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,400,000","8,534,000,000",12.675%
2327,國巨股份,"6,150,000","6,549,750,000",9.728%
2383,台光電子,"850,000","4,951,250,000",7.354%
2408,南亞科技,"8,500,000","4,292,500,000",6.375%
8299,群聯電子,"1,430,000","3,689,400,000",5.480%
2454,聯發科技,"800,000","3,572,000,000",5.305%
3037,欣興電子,"3,200,000","3,216,000,000",4.776%
6274,台燿科技,"1,400,000","2,660,000,000",3.951%
6223,旺矽科技,"370,000","2,377,250,000",3.531%
2345,智邦科技,"900,000","2,335,500,000",3.469%
5274,信驊科技,"110,000","2,120,250,000",3.149%
2059,川湖科技,"280,000","2,114,000,000",3.140%
7769,鴻勁精密,"270,000","1,867,050,000",2.773%
3189,景碩科技,"1,900,000","1,512,400,000",2.246%
8996,高力熱處,"940,000","1,461,700,000",2.171%
2303,聯華電子,"8,500,000","1,360,000,000",2.020%
2492,華新科技,"2,200,000","1,357,400,000",2.016%
2308,台達電子,"600,000","1,290,000,000",1.916%
8046,南亞電路,"1,450,000","1,252,800,000",1.861%
4958,臻鼎-KY,"2,000,000","1,244,000,000",1.848%
2344,華邦電子,"5,600,000","1,243,200,000",1.846%
2368,金像電子,"700,000","976,500,000",1.450%
3017,奇鋐科技,"400,000","968,000,000",1.438%
8210,勤誠興業,"690,000","945,300,000",1.404%
6669,緯穎科技,"185,000","898,175,000",1.334%
3665,貿聯-KY,"450,000","895,500,000",1.330%
3042,台灣晶技,"3,000,000","594,000,000",0.882%
6515,穎崴科技,"1,000","9,460,000",0.014%
3711,日月光投,"9,000","6,066,000",0.009%
3653,健策精密,"1,000","3,840,000",0.006%
6510,中華精測,"1,000","3,525,000",0.005%
2382,廣達電腦,"9,000","3,420,000",0.005%
2449,京元電子,"9,000","3,051,000",0.005%
2317,鴻海精密,"9,000","2,416,500",0.004%
2313,華通電腦,"9,000","2,335,500",0.003%
2360,致茂電子,"1,000","2,310,000",0.003%
2603,長榮海運,"9,000","1,737,000",0.003%
5347,世界先進,"9,000","1,723,500",0.003%
2337,旺宏電子,"9,000","1,669,500",0.002%
3231,緯創資通,"9,000","1,462,500",0.002%
2404,漢唐集成,"1,000","1,280,000",0.002%
2881,富邦金融,"9,000","1,246,500",0.002%
2882,國泰金融,"9,000","1,017,000",0.002%
3324,雙鴻科技,"1,000","1,075,000",0.002%
1519,華城電機,"1,000","831,000",0.001%
2885,元大金融,"9,000","619,200",0.001%
2891,中國信託,"9,000","634,500",0.001%
3044,健鼎科技,"1,000","566,000",0.001%
3036,文曄科技,"1,000","225,000",0.000%
2412,中華電信,"1,000","144,500",0.000%
