證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"2,330,000","4,112,450,000",19.302%
2408,南亞科技,"6,400,000","1,881,600,000",8.831%
8299,群聯電子,"850,000","1,823,250,000",8.558%
2308,台達電子,"1,000,000","1,175,000,000",5.515%
2383,台光電子,"570,000","1,017,450,000",4.775%
7769,鴻勁精密,"270,000","1,012,500,000",4.752%
5274,信驊科技,"100,000","904,000,000",4.243%
3665,貿聯-KY,"580,000","768,500,000",3.607%
6274,台燿科技,"1,500,000","742,500,000",3.485%
3037,欣興電子,"1,850,000","675,250,000",3.169%
1605,華新麗華,"16,500,000","645,975,000",3.032%
6223,旺矽科技,"220,000","578,600,000",2.716%
2368,金像電子,"800,000","564,800,000",2.651%
6442,光紅建聖,"320,000","547,200,000",2.568%
1519,華城電機,"550,000","518,100,000",2.432%
3653,健策精密,"175,000","517,125,000",2.427%
3017,奇鋐科技,"340,000","506,600,000",2.378%
2449,京元電子,"1,700,000","484,500,000",2.274%
2345,智邦科技,"420,000","478,800,000",2.247%
8210,勤誠興業,"520,000","468,000,000",2.197%
8358,金居開發,"1,800,000","437,400,000",2.053%
2404,漢唐集成,"470,000","429,580,000",2.016%
1303,南亞塑膠,"5,800,000","409,480,000",1.922%
6515,穎崴科技,"1,000","4,060,000",0.019%
6669,緯穎科技,"1,000","3,605,000",0.017%
3044,健鼎科技,"9,000","3,514,500",0.016%
6510,中華精測,"1,000","3,435,000",0.016%
3661,世芯-KY,"1,000","3,140,000",0.015%
2059,川湖科技,"1,000","3,065,000",0.014%
1477,聚陽實業,"9,000","2,781,000",0.013%
3443,創意電子,"1,000","2,685,000",0.013%
3711,日月光投,"9,000","2,628,000",0.012%
2382,廣達電腦,"9,000","2,457,000",0.012%
2317,鴻海精密,"9,000","1,930,500",0.009%
2454,聯發科技,"1,000","1,705,000",0.008%
2603,長榮海運,"9,000","1,656,000",0.008%
2301,光寶科技,"9,000","1,444,500",0.007%
2645,長榮航太,"9,000","1,395,000",0.007%
6805,富世達股,"1,000","1,405,000",0.007%
5347,世界先進,"9,000","1,228,500",0.006%
3231,緯創資通,"9,000","1,152,000",0.005%
1590,亞德客-KY,"1,000","1,170,000",0.005%
6781,AES-KY,"1,000","1,105,000",0.005%
3324,雙鴻科技,"1,000","938,000",0.004%
2881,富邦金融,"9,000","814,500",0.004%
2882,國泰金融,"9,000","668,700",0.003%
2891,中國信託,"9,000","458,100",0.002%
8464,億豐綜合,"1,000","418,000",0.002%
2885,元大金融,"9,000","379,800",0.002%
3036,文曄科技,"1,000","152,500",0.001%
