證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,650,000","8,285,500,000",18.233%
8299,群聯電子,"1,360,000","3,916,800,000",8.619%
2383,台光電子,"765,000","3,763,800,000",8.283%
3037,欣興電子,"3,200,000","2,819,200,000",6.204%
2408,南亞科技,"7,100,000","2,421,100,000",5.328%
2327,國巨股份,"4,700,000","2,171,400,000",4.778%
2345,智邦科技,"800,000","2,140,000,000",4.709%
2308,台達電子,"900,000","1,939,500,000",4.268%
7769,鴻勁精密,"250,000","1,890,000,000",4.159%
5274,信驊科技,"100,000","1,781,000,000",3.919%
2454,聯發科技,"500,000","1,702,500,000",3.747%
6223,旺矽科技,"260,000","1,635,400,000",3.599%
6669,緯穎科技,"290,000","1,576,150,000",3.468%
3017,奇鋐科技,"610,000","1,558,550,000",3.430%
2368,金像電子,"1,080,000","1,544,400,000",3.399%
8046,南亞電路,"1,650,000","1,397,550,000",3.075%
8996,高力熱處,"680,000","724,200,000",1.594%
6515,穎崴科技,"65,000","685,100,000",1.508%
8210,勤誠興業,"460,000","671,600,000",1.478%
3189,景碩科技,"1,250,000","652,500,000",1.436%
1590,亞德客-KY,"300,000","439,500,000",0.967%
3665,貿聯-KY,"88,000","198,000,000",0.436%
2059,川湖科技,"1,000","5,010,000",0.011%
3711,日月光投,"9,000","4,932,000",0.011%
6510,中華精測,"1,000","4,150,000",0.009%
3653,健策精密,"1,000","3,365,000",0.007%
2382,廣達電腦,"9,000","3,010,500",0.007%
2449,京元電子,"9,000","2,664,000",0.006%
2360,致茂電子,"1,000","2,260,000",0.005%
2313,華通電腦,"9,000","2,209,500",0.005%
2317,鴻海精密,"9,000","2,200,500",0.005%
2603,長榮海運,"9,000","1,903,500",0.004%
5347,世界先進,"9,000","1,575,000",0.003%
2337,旺宏電子,"9,000","1,521,000",0.003%
6274,台燿科技,"1,000","1,450,000",0.003%
3231,緯創資通,"9,000","1,242,000",0.003%
2344,華邦電子,"9,000","1,206,000",0.003%
2404,漢唐集成,"1,000","1,050,000",0.002%
3324,雙鴻科技,"1,000","1,015,000",0.002%
1519,華城電機,"1,000","870,000",0.002%
2881,富邦金融,"9,000","851,400",0.002%
2882,國泰金融,"9,000","690,300",0.002%
3044,健鼎科技,"1,000","512,000",0.001%
2891,中國信託,"9,000","493,200",0.001%
2885,元大金融,"9,000","499,500",0.001%
2890,永豐金融,"9,000","274,500",0.001%
3036,文曄科技,"1,000","271,500",0.001%
2412,中華電信,"1,000","137,500",0.000%
3045,台灣大哥,"1,000","115,000",0.000%
1303,南亞塑膠,"1,000","85,300",0.000%
