證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"3,800,000","9,348,000,000",11.497%
2383,台光電子,"1,380,000","7,583,100,000",9.327%
2408,南亞科技,"13,800,000","7,134,600,000",8.775%
2059,川湖科技,"500,000","6,952,500,000",8.551%
3037,欣興電子,"5,000,000","4,745,000,000",5.836%
2327,國巨股份,"7,500,000","4,417,500,000",5.433%
6669,緯穎科技,"1,730,020","4,307,749,800",5.298%
2454,聯發科技,"900,000","4,284,000,000",5.269%
3017,奇鋐科技,"1,250,000","4,275,000,000",5.258%
8046,南亞電路,"3,250,000","3,412,500,000",4.197%
3189,景碩科技,"4,100,000","3,333,300,000",4.100%
2345,智邦科技,"1,450,000","3,045,000,000",3.745%
3081,聯亞光電,"900,000","2,763,000,000",3.398%
5274,信驊科技,"140,500","2,699,707,500",3.320%
6274,台燿科技,"1,800,000","2,466,000,000",3.033%
6223,旺矽科技,"380,000","2,086,200,000",2.566%
3026,禾伸堂企,"2,700,000","2,081,700,000",2.560%
3653,健策精密,"340,000","1,922,700,000",2.365%
7769,鴻勁精密,"280,000","1,838,200,000",2.261%
8299,群聯電子,"780,000","1,634,100,000",2.010%
3008,大立光電,"1,000","6,660,000",0.008%
3711,日月光投,"9,000","5,589,000",0.007%
2382,廣達電腦,"9,000","3,127,500",0.004%
2317,鴻海精密,"9,000","2,304,000",0.003%
2360,致茂電子,"1,000","2,230,000",0.003%
2603,長榮海運,"9,000","2,097,000",0.003%
3665,貿聯-KY,"1,000","2,070,000",0.003%
2308,台達電子,"1,000","1,850,000",0.002%
3231,緯創資通,"9,000","1,773,000",0.002%
5347,世界先進,"9,000","1,404,000",0.002%
2881,富邦金融,"9,000","1,345,500",0.002%
2303,聯華電子,"9,000","1,287,000",0.002%
2357,華碩電腦,"1,000","999,000",0.001%
2882,國泰金融,"9,000","1,030,500",0.001%
2885,元大金融,"9,360","657,072",0.001%
2379,瑞昱半導,"1,000","729,000",0.001%
2891,中國信託,"9,000","606,600",0.001%
3044,健鼎科技,"1,000","493,000",0.001%
2886,兆豐金融,"9,000","451,800",0.001%
2887,台新新光,"9,000","369,900",0.000%
2890,永豐金融,"9,000","383,400",0.000%
2883,凱基金融,"9,000","332,550",0.000%
2884,玉山金融,"9,000","391,950",0.000%
2880,華南金融,"9,090","403,142",0.000%
2449,京元電子,"1,450","395,850",0.000%
2313,華通電腦,"1,253","300,720",0.000%
3036,文曄科技,"1,000","192,500",0.000%
2912,統一超商,"1,000","215,000",0.000%
2412,中華電信,"1,000","138,000",0.000%
1216,統一企業,"1,000","75,200",0.000%
