證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"4,200,000","10,248,000,000",13.051%
2383,台光電子,"1,250,000","6,350,000,000",8.087%
2327,國巨股份,"7,200,000","5,745,600,000",7.317%
2408,南亞科技,"10,100,000","4,858,100,000",6.187%
3037,欣興電子,"4,250,000","3,978,000,000",5.066%
8046,南亞電路,"2,800,000","3,962,000,000",5.046%
2454,聯發科技,"1,000,000","3,740,000,000",4.763%
6223,旺矽科技,"580,000","3,671,400,000",4.676%
2059,川湖科技,"380,000","3,230,000,000",4.114%
8299,群聯電子,"1,500,000","3,157,500,000",4.021%
2345,智邦科技,"1,300,000","3,042,000,000",3.874%
6274,台燿科技,"2,100,000","3,013,500,000",3.838%
3189,景碩科技,"2,800,000","2,366,000,000",3.013%
2303,聯華電子,"14,000,000","2,324,000,000",2.960%
3711,日月光投,"3,400,000","2,322,200,000",2.957%
7769,鴻勁精密,"340,000","2,284,800,000",2.910%
3026,禾伸堂企,"2,200,000","1,843,600,000",2.348%
6669,緯穎科技,"350,000","1,783,250,000",2.271%
6515,穎崴科技,"220,000","1,596,100,000",2.033%
3017,奇鋐科技,"730,000","1,580,450,000",2.013%
2492,華新科技,"3,600,000","1,364,400,000",1.738%
3665,貿聯-KY,"460,000","878,600,000",1.119%
5274,信驊科技,"62,500","868,750,000",1.106%
2344,華邦電子,"4,800,000","866,400,000",1.103%
2404,漢唐集成,"650,000","835,250,000",1.064%
2308,台達電子,"9,000","17,010,000",0.022%
2368,金像電子,"9,000","9,225,000",0.012%
4958,臻鼎-KY,"9,000","5,562,000",0.007%
2382,廣達電腦,"9,000","3,429,000",0.004%
3653,健策精密,"1,000","3,280,000",0.004%
6510,中華精測,"1,000","2,810,000",0.004%
2449,京元電子,"9,000","2,763,000",0.004%
2313,華通電腦,"9,253","2,294,744",0.003%
2317,鴻海精密,"9,000","2,151,000",0.003%
2360,致茂電子,"1,000","1,905,000",0.002%
2603,長榮海運,"9,000","1,795,500",0.002%
3042,台灣晶技,"9,000","1,705,500",0.002%
5347,世界先進,"9,000","1,678,500",0.002%
2337,旺宏電子,"9,000","1,336,500",0.002%
3231,緯創資通,"9,000","1,309,500",0.002%
8996,高力熱處,"1,000","1,185,000",0.002%
8210,勤誠興業,"1,000","1,145,000",0.001%
2881,富邦金融,"9,000","1,156,500",0.001%
2882,國泰金融,"9,000","869,400",0.001%
1519,華城電機,"1,000","709,000",0.001%
2885,元大金融,"9,000","603,000",0.001%
2891,中國信託,"9,000","571,500",0.001%
3044,健鼎科技,"1,000","426,000",0.001%
2883,凱基金融,"9,000","271,350",0.000%
3036,文曄科技,"1,000","200,000",0.000%
