證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"1,800,000","2,682,000,000",17.596%
8299,群聯電子,"650,000","763,750,000",5.011%
3017,奇鋐科技,"500,000","755,000,000",4.953%
3665,貿聯-KY,"500,000","730,000,000",4.789%
7769,鴻勁精密,"220,000","723,800,000",4.749%
6669,緯穎科技,"170,000","723,350,000",4.746%
2383,台光電子,"440,000","710,600,000",4.662%
2308,台達電子,"750,000","707,250,000",4.640%
2368,金像電子,"900,000","585,900,000",3.844%
2059,川湖科技,"150,000","559,500,000",3.671%
5274,信驊科技,"75,000","515,250,000",3.380%
2345,智邦科技,"420,000","497,700,000",3.265%
6274,台燿科技,"900,000","418,950,000",2.749%
8210,勤誠興業,"420,000","401,100,000",2.632%
2408,南亞科技,"2,250,000","397,125,000",2.605%
6805,富世達股,"240,000","384,000,000",2.519%
3653,健策精密,"140,000","380,100,000",2.494%
1519,華城電機,"470,000","370,830,000",2.433%
6781,AES-KY,"270,000","345,600,000",2.267%
6223,旺矽科技,"150,000","336,750,000",2.209%
3324,雙鴻科技,"150,000","153,000,000",1.004%
2317,鴻海精密,"650,000","145,600,000",0.955%
3231,緯創資通,"1,000,000","145,000,000",0.951%
6510,中華精測,"60,000","136,800,000",0.898%
2404,漢唐集成,"140,000","133,560,000",0.876%
2882,國泰金融,"1,300,000","99,710,000",0.654%
2885,元大金融,"2,450,000","99,347,500",0.652%
2891,中國信託,"1,960,000","98,784,000",0.648%
2881,富邦金融,"1,000,000","98,100,000",0.644%
3711,日月光投,"400,000","93,800,000",0.615%
2449,京元電子,"300,000","66,000,000",0.433%
3044,健鼎科技,"190,000","59,375,000",0.390%
2454,聯發科技,"40,000","55,600,000",0.365%
3036,文曄科技,"380,000","55,480,000",0.364%
6515,穎崴科技,"20,000","51,700,000",0.339%
1605,華新麗華,"1,650,000","50,407,500",0.331%
8358,金居開發,"200,000","50,400,000",0.331%
1303,南亞塑膠,"850,000","49,980,000",0.328%
6442,光紅建聖,"40,000","48,200,000",0.316%
1590,亞德客-KY,"9,000","8,469,000",0.056%
8464,億豐綜合,"9,000","3,406,500",0.022%
3661,世芯-KY,"1,000","3,220,000",0.021%
1477,聚陽實業,"9,000","2,686,500",0.018%
2382,廣達電腦,"9,000","2,380,500",0.016%
3443,創意電子,"1,000","2,025,000",0.013%
3037,欣興電子,"9,000","1,939,500",0.013%
2603,長榮海運,"9,000","1,674,000",0.011%
2301,光寶科技,"9,000","1,467,000",0.010%
2645,長榮航太,"9,000","1,323,000",0.009%
5347,世界先進,"9,000","887,400",0.006%
