證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"5,200,000","12,558,000,000",13.841%
2383,台光電子,"1,430,000","8,193,900,000",9.031%
2408,南亞科技,"14,000,000","6,755,000,000",7.445%
2059,川湖科技,"500,000","6,022,500,000",6.638%
3037,欣興電子,"5,000,000","5,000,000,000",5.511%
6223,旺矽科技,"720,000","4,752,000,000",5.238%
2327,國巨股份,"7,700,000","4,635,400,000",5.109%
2454,聯發科技,"1,150,000","4,617,250,000",5.089%
2345,智邦科技,"1,800,000","3,987,000,000",4.394%
8046,南亞電路,"3,000,000","3,795,000,000",4.183%
6274,台燿科技,"2,300,000","3,680,000,000",4.056%
3017,奇鋐科技,"1,200,000","3,492,000,000",3.849%
6669,緯穎科技,"570,000","3,434,250,000",3.785%
3189,景碩科技,"3,600,000","3,088,800,000",3.404%
8299,群聯電子,"1,300,000","2,873,000,000",3.167%
3711,日月光投,"4,600,000","2,856,600,000",3.148%
7769,鴻勁精密,"400,000","2,592,000,000",2.857%
5274,信驊科技,"120,500","2,093,085,000",2.307%
3026,禾伸堂企,"2,700,000","1,849,500,000",2.038%
3231,緯創資通,"9,000,000","1,741,500,000",1.919%
3653,健策精密,"230,000","1,028,100,000",1.133%
3081,聯亞光電,"208,000","566,800,000",0.625%
3008,大立光電,"1,000","4,585,000",0.005%
2382,廣達電腦,"9,000","2,929,500",0.003%
2317,鴻海精密,"9,000","2,430,000",0.003%
2360,致茂電子,"1,000","2,195,000",0.002%
3665,貿聯-KY,"1,000","2,155,000",0.002%
2603,長榮海運,"9,000","1,930,500",0.002%
2308,台達電子,"1,000","1,790,000",0.002%
5347,世界先進,"9,000","1,435,500",0.002%
2404,漢唐集成,"1,000","1,135,000",0.001%
2881,富邦金融,"9,000","1,143,000",0.001%
2882,國泰金融,"9,000","897,300",0.001%
2357,華碩電腦,"1,000","852,000",0.001%
2379,瑞昱半導,"1,000","766,000",0.001%
2885,元大金融,"9,000","617,400",0.001%
2891,中國信託,"9,000","599,400",0.001%
3044,健鼎科技,"1,000","485,500",0.001%
2880,華南金融,"9,000","388,800",0.000%
2449,京元電子,"1,450","375,550",0.000%
2886,兆豐金融,"9,000","438,300",0.000%
2887,台新新光,"9,000","320,850",0.000%
2890,永豐金融,"9,000","358,650",0.000%
2883,凱基金融,"9,000","280,800",0.000%
2884,玉山金融,"9,000","330,750",0.000%
3036,文曄科技,"1,000","217,500",0.000%
2912,統一超商,"1,000","219,500",0.000%
2313,華通電腦,"1,253","261,877",0.000%
2412,中華電信,"1,000","136,000",0.000%
1216,統一企業,"1,000","76,300",0.000%
